AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,class
151,41,4,26,21,19,2,288,68,9,45,39,35,A,W,28,56,2,A
399,102,3,56,34,34,5,670,167,4,89,48,54,A,W,211,9,3,A
336,93,9,35,46,23,15,5779,1610,128,730,741,497,A,W,0,0,0,A
616,163,27,83,107,32,3,1437,377,65,181,227,82,A,W,110,308,15,A
219,47,8,24,26,17,12,1188,286,23,100,125,63,A,W,260,58,4,A
618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,A,E,330,16,8,A
257,66,5,31,26,32,14,3910,979,33,518,324,382,N,W,87,166,14,A
404,92,11,54,49,18,6,1354,325,30,188,135,63,A,E,222,5,5,A
315,73,5,23,37,16,4,450,108,6,38,46,28,A,W,227,15,3,A
212,54,13,28,44,18,2,233,59,13,31,46,20,A,E,243,23,5,A
161,43,4,17,26,22,3,707,179,21,77,99,76,A,W,300,12,2,A
441,118,28,84,86,68,8,2723,750,126,433,420,309,A,E,190,2,2,A
550,147,29,85,91,71,6,2816,815,117,405,474,319,A,W,1218,104,10,A
344,85,24,69,64,88,7,911,214,64,150,156,187,A,W,0,0,0,A
680,223,31,119,96,34,3,1928,587,35,262,201,91,A,W,429,8,6,A
283,70,8,33,37,27,12,4479,1222,94,557,483,307,A,E,156,2,2,A
491,141,11,77,47,37,15,4291,1240,84,615,430,340,A,E,239,8,2,A
589,149,21,89,86,64,7,3558,928,102,513,471,351,A,E,371,6,6,A
464,128,28,67,94,52,13,5829,1552,210,740,840,452,A,W,0,0,0,A
338,92,18,42,60,21,3,682,185,36,88,112,50,A,E,0,0,0,A
508,146,8,80,44,46,9,3148,915,41,571,289,326,A,W,245,5,9,A
584,157,20,95,73,63,10,4704,1320,93,724,522,576,A,E,276,421,11,A
625,179,4,94,60,65,5,1696,476,12,216,163,166,A,E,303,450,14,A
489,131,19,77,55,34,7,2051,549,62,300,263,153,A,W,310,9,9,A
490,148,14,64,78,49,13,3400,1000,113,445,491,301,A,E,0,0,0,N
209,59,6,20,37,27,4,884,209,14,66,106,92,N,E,415,35,3,N
442,131,18,68,77,33,6,1416,398,47,210,203,136,A,E,233,7,7,A
317,88,3,40,32,19,8,2543,715,28,269,270,118,A,W,220,16,4,A
288,65,8,30,36,27,9,2815,698,55,315,325,189,N,E,259,30,10,A
209,54,3,25,14,12,1,209,54,3,25,14,12,A,W,102,6,3,A
303,71,3,18,30,36,3,344,76,3,20,36,45,N,E,468,47,6,N
330,77,19,47,53,27,6,1928,516,90,247,288,161,N,W,149,8,6,N
504,120,28,71,71,54,3,1085,259,54,150,167,114,A,E,103,283,19,A
258,60,8,28,33,18,3,638,170,17,80,75,36,A,W,358,32,8,A
20,1,0,0,0,0,2,41,9,2,6,7,4,N,E,78,220,6,N
374,94,5,36,26,62,7,1968,519,26,181,199,288,N,W,756,64,15,N
211,43,10,26,35,39,3,498,116,14,59,55,78,A,W,463,32,8,A
299,75,6,38,23,26,3,580,160,8,71,33,44,N,E,212,1,2,N
576,167,8,89,49,57,4,822,232,19,132,83,79,N,E,325,12,8,N
381,110,9,61,45,32,7,3015,834,40,451,249,168,N,E,228,7,5,N
288,76,7,34,37,15,4,1644,408,16,198,120,113,N,W,203,3,3,N
369,93,9,43,42,49,5,1258,323,54,181,177,157,A,E,149,1,6,A
330,76,12,35,41,47,4,1367,326,55,167,198,167,N,W,512,30,5,N
547,137,2,58,47,12,2,1038,271,3,129,80,24,A,W,261,459,22,A
572,152,18,105,49,65,2,978,249,36,168,91,101,A,W,325,13,3,A
359,84,4,46,27,21,12,4992,1257,37,699,386,387,N,W,151,8,5,N
