city,zip,beds,baths,sqft,class,price
SACRAMENTO,z95838,2,1,836,Residential,59222
SACRAMENTO,z95823,3,1,1167,Residential,68212
SACRAMENTO,z95815,2,1,796,Residential,68880
SACRAMENTO,z95815,2,1,852,Residential,69307
SACRAMENTO,z95824,2,1,797,Residential,81900
SACRAMENTO,z95841,3,1,1122,Condo,89921
SACRAMENTO,z95842,3,2,1104,Residential,90895
SACRAMENTO,z95820,3,1,1177,Residential,91002
RANCHO_CORDOVA,z95670,2,2,941,Condo,94905
RIO_LINDA,z95673,3,2,1146,Residential,98937
SACRAMENTO,z95838,3,2,909,Residential,100309
SACRAMENTO,z95823,3,2,1289,Residential,106250
SACRAMENTO,z95815,1,1,871,Residential,106852
SACRAMENTO,z95822,3,1,1020,Residential,107502
SACRAMENTO,z95842,2,2,1022,Residential,108750
SACRAMENTO,z95842,2,2,1134,Condo,110700
RIO_LINDA,z95673,2,1,844,Residential,113263
CITRUS_HEIGHTS,z95621,2,1,795,Condo,116250
SACRAMENTO,z95833,2,1,588,Residential,120000
RIO_LINDA,z95673,3,2,1356,Residential,121630
CITRUS_HEIGHTS,z95621,3,2,1118,Residential,122000
SACRAMENTO,z95823,4,2,1329,Residential,122682
NORTH_HIGHLANDS,z95660,4,2,1240,Residential,123000
SACRAMENTO,z95834,3,2,1601,Residential,124100
NORTH_HIGHLANDS,z95660,3,2,901,Residential,125000
ANTELOPE,z95843,3,2,1088,Residential,126640
SACRAMENTO,z95820,3,1,963,Residential,127281
SACRAMENTO,z95832,3,2,1119,Residential,129000
SACRAMENTO,z95827,4,2,1380,Residential,131200
SACRAMENTO,z95828,3,2,1248,Residential,132000
ELK_GROVE,z95758,2,2,1039,Condo,133000
NORTH_HIGHLANDS,z95660,3,2,1152,Residential,134555
SACRAMENTO,z95827,3,2,1380,Residential,136500
ELVERTA,z95626,3,2,1116,Residential,138750
ELK_GROVE,z95758,2,2,1039,Condo,141000
SACRAMENTO,z95823,3,2,1418,Residential,146250
NORTH_HIGHLANDS,z95660,3,2,1082,Residential,147308
SACRAMENTO,z95823,4,2,1472,Residential,148750
SACRAMENTO,z95828,4,2,1146,Residential,149593
SACRAMENTO,z95825,1,1,760,Condo,150000
SACRAMENTO,z95835,2,2,1304,Condo,152000
SACRAMENTO,z95822,3,2,1207,Residential,154000
ELK_GROVE,z95624,3,2,1056,Residential,156896
ANTELOPE,z95843,2,2,1043,Residential,161250
NORTH_HIGHLANDS,z95660,4,2,1587,Residential,161500
SACRAMENTO,z95833,4,1,1120,Residential,164000
SACRAMENTO,z95823,4,2,1580,Residential,165000
SACRAMENTO,z95823,4,1,1955,Residential,166357
SACRAMENTO,z95838,4,2,1656,Residential,166357
SACRAMENTO,z95823,3,2,1477,Residential,168000
ELK_GROVE,z95624,3,2,1188,Residential,170000
SACRAMENTO,z95828,4,2,1590,Residential,173000
SACRAMENTO,z95823,3,2,1463,Residential,174250
SACRAMENTO,z95828,4,2,1714,Residential,174313
SACRAMENTO,z95823,3,2,1185,Residential,178480
GALT,z95632,3,2,1406,Residential,178760
SACRAMENTO,z95842,4,2,1943,Multi_Family,179580
SACRAMENTO,z95826,3,2,1172,Residential,181000
CARMICHAEL,z95608,3,1,1152,Residential,181872
SACRAMENTO,z95823,4,3,1851,Residential,182587
ANTELOPE,z95843,3,2,1215,Residential,182716
GALT,z95632,3,2,1130,Residential,182750
ORANGEVALE,z95662,4,2,1603,Residential,183200
GALT,z95632,3,1,1479,Residential,188741
SACRAMENTO,z95823,3,2,1420,Residential,189000
SACRAMENTO,z95826,3,2,1280,Residential,192067
ELK_GROVE,z95758,3,2,1586,Residential,194000
ANTELOPE,z95843,3,2,1362,Residential,194818
SACRAMENTO,z95828,4,4,2162,Multi_Family,195000
SACRAMENTO,z95823,3,2,1266,Residential,198000
ELK_GROVE,z95624,4,2,1715,Residential,199500
FOLSOM,z95630,3,2,1820,Residential,200000
CARMICHAEL,z95608,3,1,936,Residential,200000
SACRAMENTO,z95834,2,3,1665,Residential,206000
SACRAMENTO,z95834,3,2,1511,Residential,208000
SACRAMENTO,z95823,4,2,1590,Residential,212864
ELK_GROVE,z95758,4,2,1596,Residential,221000
SACRAMENTO,z95835,2,2,1341,Residential,221000
ELK_GROVE,z95624,5,3,2136,Residential,223058
ELK_GROVE,z95624,4,2,1616,Residential,227887
SACRAMENTO,z95823,3,2,1478,Residential,231477
RANCHO_CORDOVA,z95670,3,2,1287,Residential,234697
CITRUS_HEIGHTS,z95621,4,2,1277,Residential,235000
SACRAMENTO,z95833,4,2,1448,Residential,236000
SACRAMENTO,z95829,4,3,2235,Residential,236685
MATHER,z95655,3,2,2093,Residential,237800
RIO_LINDA,z95673,3,2,1193,Residential,240122
ELK_GROVE,z95757,3,2,2163,Residential,242638
SACRAMENTO,z95828,3,2,1269,Residential,244000
SACRAMENTO,z95833,3,3,1473,Residential,244500
SACRAMENTO,z95828,3,1,958,Residential,244960
ELK_GROVE,z95624,5,3,2508,Residential,245918
CITRUS_HEIGHTS,z95621,3,2,1305,Residential,250000
ELK_GROVE,z95758,4,2,1591,Residential,250000
CARMICHAEL,z95608,2,2,1326,Condo,250134
ELK_GROVE,z95757,3,2,1843,Residential,254200
SACRAMENTO,z95841,4,2,1921,Residential,254200
ELK_GROVE,z95758,5,3,2790,Residential,258000
SACRAMENTO,z95835,3,2,1541,Residential,260000
SACRAMENTO,z95820,3,1,1018,Residential,260014
RANCHO_CORDOVA,z95742,4,2,1713,Residential,263500
SACRAMENTO,z95834,3,2,1672,Condo,265000
POLLOCK_PINES,z95726,3,2,1380,Residential,265000
SACRAMENTO,z95822,3,1,975,Residential,271742
SACRAMENTO,z95829,4,3,2372,Residential,273750
SACRAMENTO,z95822,3,2,1446,Residential,275086
POLLOCK_PINES,z95726,2,2,1284,Residential,280908
SACRAMENTO,z95832,4,3,3009,Residential,280987
SACRAMENTO,z95826,8,4,3612,Multi_Family,282400
ELK_GROVE,z95758,4,2,2056,Residential,285000
ELK_GROVE,z95624,4,2,1993,Residential,287417
ELK_GROVE,z95757,3,2,1857,Residential,291000
SACRAMENTO,z95818,2,1,1126,Residential,292024
SACRAMENTO,z95827,4,4,2213,Multi_Family,297000
ELK_GROVE,z95758,5,3,2494,Residential,297000
ELK_GROVE,z95757,3,2,1843,Residential,298000
GOLD_RIVER,z95670,2,2,1520,Residential,299000
SACRAMENTO,z95835,5,3,2800,Residential,304037
ELK_GROVE,z95624,4,2,2309,Residential,311000
SACRAMENTO,z95827,5,3,2367,Residential,315537
RANCHO_CORDOVA,z95742,5,4,3516,Residential,320000
RANCHO_CORDOVA,z95742,4,3,2536,Residential,320000
SACRAMENTO,z95826,4,3,1914,Residential,328360
ORANGEVALE,z95662,2,1,1690,Residential,334150
ELK_GROVE,z95757,3,3,2725,Residential,335750
ELK_GROVE,z95757,4,3,2354,Residential,335750
SACRAMENTO,z95833,3,3,1842,Residential,339500
FOLSOM,z95630,3,2,2185,Residential,344250
ELK_GROVE,z95758,4,2,1801,Residential,346210
SACRAMENTO,z95823,3,3,1961,Residential,347029
ELK_GROVE,z95757,4,2,3134,Residential,347650
SACRAMENTO,z95823,4,3,1915,Residential,351300
