Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.7076923076923077,0.7280240130240129,16666.052103042603,400.8873474518458,24053.24084711075
classic,entropy,0,2,3,1,0.7076923076923077,0.7280240130240129,15951.902866363525, , 
classic,entropy,0,2,5,1,0.7076923076923077,0.7280240130240129,15963.160276412964, , 
classic,entropy,0,2,5,3,0.7076923076923077,0.7280240130240129,15977.202892303467, , 
classic,entropy,0,2,10,1,0.7076923076923077,0.7280240130240129,15992.51675605774, , 
classic,entropy,0,2,10,3,0.7076923076923077,0.7280240130240129,15976.136207580566, , 
classic,entropy,0,2,10,5,0.7076923076923077,0.7280240130240129,16023.96011352539, , 
classic,entropy,0,2,25,1,0.7076923076923077,0.7280240130240129,16269.698143005371, , 
classic,entropy,0,2,25,3,0.7076923076923077,0.7280240130240129,15941.775798797607, , 
classic,entropy,0,2,25,5,0.7076923076923077,0.7280240130240129,15941.338777542114, , 
classic,entropy,0,2,25,10,0.7076923076923077,0.7280240130240129,15912.353038787842, , 
classic,entropy,0,2,50,1,0.7076923076923077,0.7280240130240129,16011.189699172974, , 
classic,entropy,0,2,50,3,0.7076923076923077,0.7280240130240129,15777.345180511475, , 
classic,entropy,0,2,50,5,0.7076923076923077,0.7280240130240129,16009.443759918213, , 
classic,entropy,0,2,50,10,0.7076923076923077,0.7280240130240129,15911.016941070557, , 
classic,entropy,0,2,50,25,0.7076923076923077,0.7280240130240129,16161.578178405762, , 
classic,entropy,0,3,2,1,0.8,0.7968583544115458,27218.291997909546, , 
classic,entropy,0,3,3,1,0.8,0.7968583544115458,27206.584692001343, , 
classic,entropy,0,3,5,1,0.8,0.7968583544115458,27222.082138061523, , 
classic,entropy,0,3,5,3,0.8,0.7968583544115458,27223.17624092102, , 
classic,entropy,0,3,10,1,0.8,0.7968583544115458,27255.210161209106, , 
classic,entropy,0,3,10,3,0.8,0.7968583544115458,27235.87918281555, , 
classic,entropy,0,3,10,5,0.8,0.7968583544115458,27216.51816368103, , 
classic,entropy,0,3,25,1,0.8,0.7968583544115458,27229.477167129517, , 
classic,entropy,0,3,25,3,0.8,0.7968583544115458,27206.125020980835, , 
classic,entropy,0,3,25,5,0.8,0.7968583544115458,27234.150886535645, , 
classic,entropy,0,3,25,10,0.7615384615384615,0.7491412966309328,27175.395965576172, , 
classic,entropy,0,3,50,1,0.7615384615384615,0.7491412966309328,19874.03893470764, , 
classic,entropy,0,3,50,3,0.7615384615384615,0.7491412966309328,20157.99593925476, , 
classic,entropy,0,3,50,5,0.7615384615384615,0.7491412966309328,19851.575136184692, , 
classic,entropy,0,3,50,10,0.7615384615384615,0.7491412966309328,19867.00701713562, , 
classic,entropy,0,3,50,25,0.7615384615384615,0.7491412966309328,19891.517877578735, , 
classic,entropy,0,4,2,1,0.7461538461538462,0.7517839983878228,43572.365045547485, , 
classic,entropy,0,4,3,1,0.7461538461538462,0.7517839983878228,44684.01598930359, , 
classic,entropy,0,4,5,1,0.7461538461538462,0.7517839983878228,45207.04793930054, , 
classic,entropy,0,4,5,3,0.7538461538461538,0.7642322383498854,45256.8519115448, , 
classic,entropy,0,4,10,1,0.7538461538461538,0.7642322383498854,42526.74913406372, , 
classic,entropy,0,4,10,3,0.7538461538461538,0.7642322383498854,42497.94006347656, , 
classic,entropy,0,4,10,5,0.7538461538461538,0.7642322383498854,42548.46382141113, , 
classic,entropy,0,4,25,1,0.7538461538461538,0.7642322383498854,42147.52984046936, , 
classic,entropy,0,4,25,3,0.7538461538461538,0.7642322383498854,42205.02495765686, , 
classic,entropy,0,4,25,5,0.7538461538461538,0.7642322383498854,42182.64698982239, , 
classic,entropy,0,4,25,10,0.7153846153846154,0.711877810038345,35136.559009552, , 
classic,entropy,0,4,50,1,0.7615384615384615,0.7491412966309328,20558.19797515869, , 
classic,entropy,0,4,50,3,0.7615384615384615,0.7491412966309328,20565.505027770996, , 
classic,entropy,0,4,50,5,0.7615384615384615,0.7491412966309328,20577.97908782959, , 
classic,entropy,0,4,50,10,0.7615384615384615,0.7491412966309328,20828.233003616333, , 
classic,entropy,0,4,50,25,0.7615384615384615,0.7491412966309328,20427.88577079773, , 
classic,entropy,0,5,2,1,0.7615384615384615,0.7711173535242833,67430.70411682129, , 
classic,entropy,0,5,3,1,0.7538461538461538,0.7600872065516326,66415.67587852478, , 
classic,entropy,0,5,5,1,0.7538461538461538,0.7600872065516326,66311.45882606506, , 
classic,entropy,0,5,5,3,0.7692307692307693,0.7786192372992035,64846.88591957092, , 
classic,entropy,0,5,10,1,0.7615384615384615,0.7723668572806504,62441.17617607117, , 
classic,entropy,0,5,10,3,0.7692307692307693,0.7786192372992035,62504.053592681885, , 
classic,entropy,0,5,10,5,0.7615384615384615,0.7705552582212924,59367.86413192749, , 
classic,entropy,0,5,25,1,0.7307692307692307,0.7428801806160298,47134.53793525696, , 
classic,entropy,0,5,25,3,0.7384615384615385,0.7490528339584944,47116.995096206665, , 
classic,entropy,0,5,25,5,0.7538461538461538,0.7642322383498854,43854.7260761261, , 
classic,entropy,0,5,25,10,0.7153846153846154,0.711877810038345,33938.18974494934, , 
classic,entropy,0,5,50,1,0.7615384615384615,0.7491412966309328,19801.4919757843, , 
classic,entropy,0,5,50,3,0.7615384615384615,0.7491412966309328,19779.165029525757, , 
classic,entropy,0,5,50,5,0.7615384615384615,0.7491412966309328,19820.488929748535, , 
classic,entropy,0,5,50,10,0.7615384615384615,0.7491412966309328,19845.393896102905, , 
classic,entropy,0,5,50,25,0.7615384615384615,0.7491412966309328,19808.48717689514, , 
classic,entropy,0,6,2,1,0.7615384615384615,0.774136131222224,86498.37708473206, , 
classic,entropy,0,6,3,1,0.7538461538461538,0.7637476249240955,84166.25618934631, , 
classic,entropy,0,6,5,1,0.7461538461538462,0.7564695304695305,79137.57824897766, , 
classic,entropy,0,6,5,3,0.7615384615384615,0.7709469884953756,76279.66904640198, , 
classic,entropy,0,6,10,1,0.7538461538461538,0.7645614385614385,73924.99589920044, , 
classic,entropy,0,6,10,3,0.7615384615384615,0.7709469884953756,71204.85019683838, , 
classic,entropy,0,6,10,5,0.7615384615384615,0.7705552582212924,62048.18892478943, , 
classic,entropy,0,6,25,1,0.7307692307692307,0.7428801806160298,47110.85295677185, , 
classic,entropy,0,6,25,3,0.7384615384615385,0.7490528339584944,47774.62673187256, , 
classic,entropy,0,6,25,5,0.7538461538461538,0.7642322383498854,45737.69021034241, , 
classic,entropy,0,6,25,10,0.7153846153846154,0.711877810038345,35430.76825141907, , 
classic,entropy,0,6,50,1,0.7615384615384615,0.7491412966309328,20705.610752105713, , 
classic,entropy,0,6,50,3,0.7615384615384615,0.7491412966309328,20743.314266204834, , 
classic,entropy,0,6,50,5,0.7615384615384615,0.7491412966309328,20706.446886062622, , 
classic,entropy,0,6,50,10,0.7615384615384615,0.7491412966309328,20733.07204246521, , 
classic,entropy,0,6,50,25,0.7615384615384615,0.7491412966309328,20712.117910385132, , 
classic,entropy,0,7,2,1,0.7769230769230769,0.7865945087920672,106959.32221412659, , 
classic,entropy,0,7,3,1,0.7692307692307693,0.7764515429929926,104422.15824127197, , 
