Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.9354838709677419,0.9354838709677419,19999.57299232483,256.27155228853223,15376.293137311935
classic,entropy,0,2,3,1,0.9354838709677419,0.9354838709677419,20159.043788909912, , 
classic,entropy,0,2,5,1,0.9354838709677419,0.9354838709677419,19308.650016784668, , 
classic,entropy,0,2,5,3,0.9354838709677419,0.9354838709677419,20046.157836914062, , 
classic,entropy,0,2,10,1,0.9354838709677419,0.9354838709677419,19316.664218902588, , 
classic,entropy,0,2,10,3,0.9354838709677419,0.9354838709677419,19015.395879745483, , 
classic,entropy,0,2,10,5,0.9354838709677419,0.9354838709677419,19763.335943222046, , 
classic,entropy,0,2,25,1,0.9354838709677419,0.9354838709677419,19887.79306411743, , 
classic,entropy,0,2,25,3,0.9354838709677419,0.9354838709677419,19414.734840393066, , 
classic,entropy,0,2,25,5,0.9354838709677419,0.9354838709677419,19129.709005355835, , 
classic,entropy,0,2,25,10,0.9354838709677419,0.9354838709677419,19354.835748672485, , 
classic,entropy,0,2,50,1,0.9354838709677419,0.9354838709677419,19346.18902206421, , 
classic,entropy,0,2,50,3,0.9354838709677419,0.9354838709677419,19359.38811302185, , 
classic,entropy,0,2,50,5,0.9354838709677419,0.9354838709677419,19216.758966445923, , 
classic,entropy,0,2,50,10,0.9354838709677419,0.9354838709677419,19251.31106376648, , 
classic,entropy,0,2,50,25,0.9354838709677419,0.9354838709677419,19229.661226272583, , 
classic,entropy,0,3,2,1,0.9354838709677419,0.9354838709677419,35033.53190422058, , 
classic,entropy,0,3,3,1,0.9354838709677419,0.9354838709677419,35278.60689163208, , 
classic,entropy,0,3,5,1,0.9354838709677419,0.9354838709677419,35381.94823265076, , 
classic,entropy,0,3,5,3,0.9354838709677419,0.9354838709677419,34940.38701057434, , 
classic,entropy,0,3,10,1,0.9354838709677419,0.9354838709677419,35124.415159225464, , 
classic,entropy,0,3,10,3,0.9354838709677419,0.9354838709677419,35525.93922615051, , 
classic,entropy,0,3,10,5,0.9354838709677419,0.9354838709677419,35583.36901664734, , 
classic,entropy,0,3,25,1,0.9354838709677419,0.9354838709677419,34881.13212585449, , 
classic,entropy,0,3,25,3,0.9354838709677419,0.9354838709677419,35392.237186431885, , 
classic,entropy,0,3,25,5,0.9354838709677419,0.9354838709677419,35643.373250961304, , 
classic,entropy,0,3,25,10,0.9354838709677419,0.9354838709677419,35496.49620056152, , 
classic,entropy,0,3,50,1,0.9354838709677419,0.9354838709677419,25251.365184783936, , 
classic,entropy,0,3,50,3,0.9354838709677419,0.9354838709677419,25268.07999610901, , 
classic,entropy,0,3,50,5,0.9354838709677419,0.9354838709677419,25510.56170463562, , 
classic,entropy,0,3,50,10,0.9354838709677419,0.9354838709677419,25314.21399116516, , 
classic,entropy,0,3,50,25,0.9354838709677419,0.9354838709677419,25492.575883865356, , 
classic,entropy,0,4,2,1,0.8602150537634409,0.8581619088982771,49693.24326515198, , 
classic,entropy,0,4,3,1,0.8602150537634409,0.8581619088982771,47912.047147750854, , 
classic,entropy,0,4,5,1,0.8602150537634409,0.8581619088982771,48647.39203453064, , 
classic,entropy,0,4,5,3,0.8709677419354839,0.8683445586671393,49085.5450630188, , 
classic,entropy,0,4,10,1,0.8709677419354839,0.8683445586671393,44699.76806640625, , 
classic,entropy,0,4,10,3,0.8709677419354839,0.8683445586671393,44207.24821090698, , 
classic,entropy,0,4,10,5,0.8817204301075269,0.8786013297217433,44645.74098587036, , 
classic,entropy,0,4,25,1,0.9354838709677419,0.9354838709677419,35273.09489250183, , 
classic,entropy,0,4,25,3,0.9354838709677419,0.9354838709677419,35115.38314819336, , 
classic,entropy,0,4,25,5,0.9354838709677419,0.9354838709677419,35640.57397842407, , 
classic,entropy,0,4,25,10,0.9354838709677419,0.9354838709677419,35278.21922302246, , 
classic,entropy,0,4,50,1,0.9354838709677419,0.9354838709677419,25298.248767852783, , 
classic,entropy,0,4,50,3,0.9354838709677419,0.9354838709677419,25295.64595222473, , 
classic,entropy,0,4,50,5,0.9354838709677419,0.9354838709677419,25087.85915374756, , 
classic,entropy,0,4,50,10,0.9354838709677419,0.9354838709677419,25371.3219165802, , 
classic,entropy,0,4,50,25,0.9354838709677419,0.9354838709677419,25178.446769714355, , 
classic,entropy,0,5,2,1,0.8709677419354839,0.8728847170809095,62100.17371177673, , 
classic,entropy,0,5,3,1,0.8709677419354839,0.8728847170809095,62364.920139312744, , 
classic,entropy,0,5,5,1,0.8709677419354839,0.8728847170809095,62511.43789291382, , 
classic,entropy,0,5,5,3,0.8817204301075269,0.8830941765638853,63075.398206710815, , 
classic,entropy,0,5,10,1,0.8817204301075269,0.8830941765638853,58153.46598625183, , 
classic,entropy,0,5,10,3,0.8817204301075269,0.8830941765638853,58327.16393470764, , 
classic,entropy,0,5,10,5,0.9247311827956989,0.9243896453894603,53730.11302947998, , 
classic,entropy,0,5,25,1,0.9354838709677419,0.9354838709677419,34995.33915519714, , 
classic,entropy,0,5,25,3,0.9354838709677419,0.9354838709677419,35445.661306381226, , 
classic,entropy,0,5,25,5,0.9354838709677419,0.9354838709677419,35150.898933410645, , 
classic,entropy,0,5,25,10,0.9354838709677419,0.9354838709677419,34951.08199119568, , 
classic,entropy,0,5,50,1,0.9354838709677419,0.9354838709677419,25273.401737213135, , 
classic,entropy,0,5,50,3,0.9354838709677419,0.9354838709677419,25176.445245742798, , 
classic,entropy,0,5,50,5,0.9354838709677419,0.9354838709677419,25227.626085281372, , 
classic,entropy,0,5,50,10,0.9354838709677419,0.9354838709677419,25237.350940704346, , 
classic,entropy,0,5,50,25,0.9354838709677419,0.9354838709677419,25119.84086036682, , 
classic,entropy,0,6,2,1,0.8387096774193549,0.8363406641133967,72888.02695274353, , 
classic,entropy,0,6,3,1,0.8602150537634409,0.8595807700089978,70559.68999862671, , 
classic,entropy,0,6,5,1,0.8602150537634409,0.8595807700089978,70547.78122901917, , 
classic,entropy,0,6,5,3,0.8817204301075269,0.8830941765638853,70476.69291496277, , 
classic,entropy,0,6,10,1,0.8817204301075269,0.8830941765638853,58360.24188995361, , 
classic,entropy,0,6,10,3,0.8817204301075269,0.8830941765638853,58370.259046554565, , 
classic,entropy,0,6,10,5,0.9247311827956989,0.9243896453894603,54002.27403640747, , 
classic,entropy,0,6,25,1,0.9354838709677419,0.9354838709677419,35285.3479385376, , 
classic,entropy,0,6,25,3,0.9354838709677419,0.9354838709677419,35013.75317573547, , 
