Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.9354838709677419,0.9354838709677419,5.34510612487793,0.06096655527750651,3.6579933166503906
classic,entropy,0,2,3,1,0.9354838709677419,0.9354838709677419,0.9882450103759766, , 
classic,entropy,0,2,5,1,0.9354838709677419,0.9354838709677419,1.013040542602539, , 
classic,entropy,0,2,5,3,0.9354838709677419,0.9354838709677419,0.9701251983642578, , 
classic,entropy,0,2,10,1,0.9354838709677419,0.9354838709677419,1.0259151458740234, , 
classic,entropy,0,2,10,3,0.9354838709677419,0.9354838709677419,0.9379386901855469, , 
classic,entropy,0,2,10,5,0.9354838709677419,0.9354838709677419,0.9672641754150391, , 
classic,entropy,0,2,25,1,0.9354838709677419,0.9354838709677419,1.0619163513183594, , 
classic,entropy,0,2,25,3,0.9354838709677419,0.9354838709677419,0.9627342224121094, , 
classic,entropy,0,2,25,5,0.9354838709677419,0.9354838709677419,0.946044921875, , 
classic,entropy,0,2,25,10,0.9354838709677419,0.9354838709677419,0.9789466857910156, , 
classic,entropy,0,2,50,1,0.9354838709677419,0.9354838709677419,0.9479522705078125, , 
classic,entropy,0,2,50,3,0.9354838709677419,0.9354838709677419,0.9808540344238281, , 
classic,entropy,0,2,50,5,0.9354838709677419,0.9354838709677419,0.98419189453125, , 
classic,entropy,0,2,50,10,0.9354838709677419,0.9354838709677419,0.9632110595703125, , 
classic,entropy,0,2,50,25,0.9354838709677419,0.9354838709677419,0.9260177612304688, , 
classic,entropy,0,3,2,1,0.9354838709677419,0.9354838709677419,1.0421276092529297, , 
classic,entropy,0,3,3,1,0.9354838709677419,0.9354838709677419,1.0349750518798828, , 
classic,entropy,0,3,5,1,0.9354838709677419,0.9354838709677419,1.1599063873291016, , 
classic,entropy,0,3,5,3,0.9354838709677419,0.9354838709677419,1.2242794036865234, , 
classic,entropy,0,3,10,1,0.9354838709677419,0.9354838709677419,1.1870861053466797, , 
classic,entropy,0,3,10,3,0.9354838709677419,0.9354838709677419,1.132965087890625, , 
