Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,1.0,1.0,4281.161069869995,28.485220777988435,1709.113246679306
classic,entropy,0,2,3,1,1.0,1.0,4515.415906906128, , 
classic,entropy,0,2,5,1,1.0,1.0,4079.719066619873, , 
classic,entropy,0,2,5,3,1.0,1.0,4000.5528926849365, , 
classic,entropy,0,2,10,1,1.0,1.0,3979.2301654815674, , 
classic,entropy,0,2,10,3,1.0,1.0,3969.426155090332, , 
classic,entropy,0,2,10,5,1.0,1.0,4153.47695350647, , 
classic,entropy,0,2,25,1,1.0,1.0,4134.527921676636, , 
classic,entropy,0,2,25,3,1.0,1.0,4223.448753356934, , 
classic,entropy,0,2,25,5,1.0,1.0,4007.22599029541, , 
classic,entropy,0,2,25,10,1.0,1.0,3913.9649868011475, , 
classic,entropy,0,2,50,1,1.0,1.0,3906.8479537963867, , 
classic,entropy,0,2,50,3,1.0,1.0,3923.6671924591064, , 
classic,entropy,0,2,50,5,1.0,1.0,4089.555025100708, , 
classic,entropy,0,2,50,10,1.0,1.0,3904.491901397705, , 
classic,entropy,0,2,50,25,1.0,1.0,3911.2048149108887, , 
classic,entropy,0,3,2,1,1.0,1.0,4065.743923187256, , 
classic,entropy,0,3,3,1,1.0,1.0,4173.887014389038, , 
classic,entropy,0,3,5,1,1.0,1.0,4184.223175048828, , 
classic,entropy,0,3,5,3,1.0,1.0,4154.096841812134, , 
classic,entropy,0,3,10,1,1.0,1.0,4082.576036453247, , 
classic,entropy,0,3,10,3,1.0,1.0,4002.72798538208, , 
classic,entropy,0,3,10,5,1.0,1.0,4168.404817581177, , 
classic,entropy,0,3,25,1,1.0,1.0,4298.104047775269, , 
classic,entropy,0,3,25,3,1.0,1.0,4087.1329307556152, , 
classic,entropy,0,3,25,5,1.0,1.0,4023.754119873047, , 
classic,entropy,0,3,25,10,1.0,1.0,3990.144968032837, , 
classic,entropy,0,3,50,1,1.0,1.0,3992.421865463257, , 
classic,entropy,0,3,50,3,1.0,1.0,3973.702907562256, , 
classic,entropy,0,3,50,5,1.0,1.0,4012.88104057312, , 
classic,entropy,0,3,50,10,1.0,1.0,4072.6211071014404, , 
classic,entropy,0,3,50,25,1.0,1.0,4166.475057601929, , 
classic,entropy,0,4,2,1,1.0,1.0,4031.7230224609375, , 
classic,entropy,0,4,3,1,1.0,1.0,4067.387104034424, , 
classic,entropy,0,4,5,1,1.0,1.0,4016.1638259887695, , 
classic,entropy,0,4,5,3,1.0,1.0,3973.60897064209, , 
classic,entropy,0,4,10,1,1.0,1.0,3928.1890392303467, , 
classic,entropy,0,4,10,3,1.0,1.0,3926.2771606445312, , 
classic,entropy,0,4,10,5,1.0,1.0,3908.337116241455, , 
classic,entropy,0,4,25,1,1.0,1.0,3874.876022338867, , 
classic,entropy,0,4,25,3,1.0,1.0,3938.6699199676514, , 
classic,entropy,0,4,25,5,1.0,1.0,3962.229013442993, , 
classic,entropy,0,4,25,10,1.0,1.0,3923.8991737365723, , 
classic,entropy,0,4,50,1,1.0,1.0,3932.9237937927246, , 
classic,entropy,0,4,50,3,1.0,1.0,3904.93106842041, , 
classic,entropy,0,4,50,5,1.0,1.0,3937.519073486328, , 
classic,entropy,0,4,50,10,1.0,1.0,3935.361862182617, , 
classic,entropy,0,4,50,25,1.0,1.0,3936.7380142211914, , 
classic,entropy,0,5,2,1,1.0,1.0,3854.296922683716, , 
classic,entropy,0,5,3,1,1.0,1.0,3919.6670055389404, , 
classic,entropy,0,5,5,1,1.0,1.0,3874.440908432007, , 
classic,entropy,0,5,5,3,1.0,1.0,3928.4908771514893, , 
classic,entropy,0,5,10,1,1.0,1.0,3926.147937774658, , 
classic,entropy,0,5,10,3,1.0,1.0,3890.8722400665283, , 
classic,entropy,0,5,10,5,1.0,1.0,3887.805938720703, , 
classic,entropy,0,5,25,1,1.0,1.0,3919.9869632720947, , 
classic,entropy,0,5,25,3,1.0,1.0,3866.5361404418945, , 
classic,entropy,0,5,25,5,1.0,1.0,3871.574878692627, , 
classic,entropy,0,5,25,10,1.0,1.0,3846.141815185547, , 
