Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.9305555555555556,0.931216931216931,144.99783515930176,19.135071448485057,1148.1042869091034
classic,entropy,0,2,3,1,0.9305555555555556,0.931216931216931,154.03413772583008, , 
classic,entropy,0,2,5,1,0.9305555555555556,0.931216931216931,141.91722869873047, , 
classic,entropy,0,2,5,3,0.9305555555555556,0.931216931216931,138.8230323791504, , 
classic,entropy,0,2,10,1,0.9305555555555556,0.931216931216931,136.99078559875488, , 
classic,entropy,0,2,10,3,0.9305555555555556,0.931216931216931,136.10005378723145, , 
classic,entropy,0,2,10,5,0.9305555555555556,0.931216931216931,139.47391510009766, , 
classic,entropy,0,2,25,1,0.9305555555555556,0.931216931216931,148.95200729370117, , 
classic,entropy,0,2,25,3,0.9305555555555556,0.931216931216931,146.7602252960205, , 
classic,entropy,0,2,25,5,0.9305555555555556,0.931216931216931,147.44806289672852, , 
classic,entropy,0,2,25,10,0.9305555555555556,0.931216931216931,146.06380462646484, , 
classic,entropy,0,2,50,1,0.9305555555555556,0.931216931216931,135.8799934387207, , 
classic,entropy,0,2,50,3,0.9305555555555556,0.931216931216931,134.63091850280762, , 
classic,entropy,0,2,50,5,0.9305555555555556,0.931216931216931,135.20216941833496, , 
classic,entropy,0,2,50,10,0.9305555555555556,0.931216931216931,134.32812690734863, , 
classic,entropy,0,2,50,25,0.9305555555555556,0.931216931216931,133.21709632873535, , 
classic,entropy,0,3,2,1,0.9375,0.9379217273954116,230.68594932556152, , 
classic,entropy,0,3,3,1,0.9375,0.9379217273954116,230.76200485229492, , 
classic,entropy,0,3,5,1,0.9375,0.9379217273954116,231.89282417297363, , 
classic,entropy,0,3,5,3,0.9375,0.9379217273954116,229.13002967834473, , 
classic,entropy,0,3,10,1,0.9375,0.9379217273954116,228.24692726135254, , 
classic,entropy,0,3,10,3,0.9375,0.9379217273954116,231.70995712280273, , 
classic,entropy,0,3,10,5,0.9375,0.9379217273954116,232.59902000427246, , 
classic,entropy,0,3,25,1,0.9375,0.9379217273954116,198.90475273132324, , 
classic,entropy,0,3,25,3,0.9375,0.9379217273954116,199.8138427734375, , 
classic,entropy,0,3,25,5,0.9375,0.9379217273954116,199.6591091156006, , 
classic,entropy,0,3,25,10,0.9305555555555556,0.931216931216931,198.44508171081543, , 
classic,entropy,0,3,50,1,0.9305555555555556,0.931216931216931,168.78318786621094, , 
classic,entropy,0,3,50,3,0.9305555555555556,0.931216931216931,169.19589042663574, , 
classic,entropy,0,3,50,5,0.9305555555555556,0.931216931216931,167.07491874694824, , 
classic,entropy,0,3,50,10,0.9305555555555556,0.931216931216931,169.63815689086914, , 
classic,entropy,0,3,50,25,0.9305555555555556,0.931216931216931,168.04885864257812, , 
classic,entropy,0,4,2,1,0.9444444444444444,0.9444444444444444,339.2908573150635, , 
classic,entropy,0,4,3,1,0.9444444444444444,0.9444444444444444,337.0540142059326, , 
classic,entropy,0,4,5,1,0.9444444444444444,0.9444444444444444,338.3970260620117, , 
classic,entropy,0,4,5,3,0.9513888888888888,0.9513072394428327,338.29689025878906, , 
classic,entropy,0,4,10,1,0.9513888888888888,0.9513072394428327,291.08595848083496, , 
classic,entropy,0,4,10,3,0.9513888888888888,0.9513072394428327,307.21426010131836, , 
classic,entropy,0,4,10,5,0.9513888888888888,0.9513072394428327,284.1329574584961, , 
classic,entropy,0,4,25,1,0.9513888888888888,0.9513072394428327,228.3928394317627, , 
classic,entropy,0,4,25,3,0.9513888888888888,0.9513072394428327,228.2869815826416, , 
classic,entropy,0,4,25,5,0.9513888888888888,0.9513072394428327,228.51800918579102, , 
classic,entropy,0,4,25,10,0.9305555555555556,0.931216931216931,200.5331516265869, , 
classic,entropy,0,4,50,1,0.9305555555555556,0.931216931216931,169.10290718078613, , 
classic,entropy,0,4,50,3,0.9305555555555556,0.931216931216931,171.1111068725586, , 
classic,entropy,0,4,50,5,0.9305555555555556,0.931216931216931,167.90390014648438, , 
classic,entropy,0,4,50,10,0.9305555555555556,0.931216931216931,167.75107383728027, , 
classic,entropy,0,4,50,25,0.9305555555555556,0.931216931216931,167.90032386779785, , 
classic,entropy,0,5,2,1,0.9513888888888888,0.951465093411996,447.5541114807129, , 
classic,entropy,0,5,3,1,0.9513888888888888,0.951465093411996,448.5900402069092, , 
classic,entropy,0,5,5,1,0.9513888888888888,0.9516014632375528,409.55090522766113, , 
classic,entropy,0,5,5,3,0.9583333333333334,0.9584593668078243,385.90407371520996, , 
classic,entropy,0,5,10,1,0.9513888888888888,0.9513072394428327,312.6790523529053, , 
classic,entropy,0,5,10,3,0.9513888888888888,0.9513072394428327,309.8280429840088, , 
classic,entropy,0,5,10,5,0.9513888888888888,0.9513072394428327,311.4199638366699, , 
classic,entropy,0,5,25,1,0.9513888888888888,0.9513072394428327,228.3611297607422, , 
