Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,Irrelevant,2,2,1,0.9305555555555556,0.931216931216931,1.3709068298339844,0.039817472298940025,2.3890483379364014
classic,entropy,Irrelevant,2,3,1,0.9305555555555556,0.931216931216931,1.2378692626953125, , 
classic,entropy,Irrelevant,2,5,1,0.9305555555555556,0.931216931216931,1.0280609130859375, , 
classic,entropy,Irrelevant,2,5,3,0.9305555555555556,0.931216931216931,0.9069442749023438, , 
classic,entropy,Irrelevant,2,10,1,0.9305555555555556,0.931216931216931,0.9288787841796875, , 
classic,entropy,Irrelevant,2,10,3,0.9305555555555556,0.931216931216931,0.8928775787353516, , 
classic,entropy,Irrelevant,2,10,5,0.9305555555555556,0.931216931216931,1.0139942169189453, , 
classic,entropy,Irrelevant,2,25,1,0.9305555555555556,0.931216931216931,0.9779930114746094, , 
classic,entropy,Irrelevant,2,25,3,0.9305555555555556,0.931216931216931,0.8609294891357422, , 
classic,entropy,Irrelevant,2,25,5,0.9305555555555556,0.931216931216931,0.9961128234863281, , 
classic,entropy,Irrelevant,2,25,10,0.9305555555555556,0.931216931216931,0.9169578552246094, , 
classic,entropy,Irrelevant,2,50,1,0.9305555555555556,0.931216931216931,0.9169578552246094, , 
classic,entropy,Irrelevant,2,50,3,0.9305555555555556,0.931216931216931,0.9207725524902344, , 
classic,entropy,Irrelevant,2,50,5,0.9305555555555556,0.931216931216931,0.8928775787353516, , 
classic,entropy,Irrelevant,2,50,10,0.9305555555555556,0.931216931216931,1.1599063873291016, , 
classic,entropy,Irrelevant,2,50,25,0.9305555555555556,0.931216931216931,0.9121894836425781, , 
classic,entropy,Irrelevant,3,2,1,0.9375,0.9379217273954116,1.0187625885009766, , 
classic,entropy,Irrelevant,3,3,1,0.9375,0.9379217273954116,0.9770393371582031, , 
classic,entropy,Irrelevant,3,5,1,0.9375,0.9379217273954116,1.0080337524414062, , 
classic,entropy,Irrelevant,3,5,3,0.9375,0.9379217273954116,0.9050369262695312, , 
classic,entropy,Irrelevant,3,10,1,0.9375,0.9379217273954116,1.0340213775634766, , 
classic,entropy,Irrelevant,3,10,3,0.9375,0.9379217273954116,0.9629726409912109, , 
classic,entropy,Irrelevant,3,10,5,0.9375,0.9379217273954116,0.9398460388183594, , 
classic,entropy,Irrelevant,3,25,1,0.9375,0.9379217273954116,1.0170936584472656, , 
classic,entropy,Irrelevant,3,25,3,0.9375,0.9379217273954116,0.90789794921875, , 
classic,entropy,Irrelevant,3,25,5,0.9375,0.9379217273954116,0.8740425109863281, , 
classic,entropy,Irrelevant,3,25,10,0.9513888888888888,0.951465093411996,0.9968280792236328, , 
classic,entropy,Irrelevant,3,50,1,0.9305555555555556,0.931216931216931,0.8549690246582031, , 
classic,entropy,Irrelevant,3,50,3,0.9305555555555556,0.931216931216931,0.9567737579345703, , 
classic,entropy,Irrelevant,3,50,5,0.9305555555555556,0.931216931216931,0.8611679077148438, , 
classic,entropy,Irrelevant,3,50,10,0.9305555555555556,0.931216931216931,0.8652210235595703, , 
classic,entropy,Irrelevant,3,50,25,0.9305555555555556,0.931216931216931,0.8389949798583984, , 
classic,entropy,Irrelevant,4,2,1,0.9305555555555556,0.9307656113463736,0.9238719940185547, , 
classic,entropy,Irrelevant,4,3,1,0.9444444444444444,0.9444444444444444,0.9331703186035156, , 
classic,entropy,Irrelevant,4,5,1,0.9444444444444444,0.9444444444444444,0.9701251983642578, , 
classic,entropy,Irrelevant,4,5,3,0.9513888888888888,0.9513072394428327,1.043081283569336, , 
classic,entropy,Irrelevant,4,10,1,0.9513888888888888,0.9513072394428327,0.9379386901855469, , 
classic,entropy,Irrelevant,4,10,3,0.9513888888888888,0.9513072394428327,1.0039806365966797, , 
classic,entropy,Irrelevant,4,10,5,0.9513888888888888,0.9513072394428327,0.9160041809082031, , 
classic,entropy,Irrelevant,4,25,1,0.9513888888888888,0.9513072394428327,0.8859634399414062, , 
classic,entropy,Irrelevant,4,25,3,0.9513888888888888,0.9513072394428327,0.9050369262695312, , 
classic,entropy,Irrelevant,4,25,5,0.9513888888888888,0.9513072394428327,0.8928775787353516, , 
classic,entropy,Irrelevant,4,25,10,0.9513888888888888,0.951465093411996,0.9729862213134766, , 
classic,entropy,Irrelevant,4,50,1,0.9305555555555556,0.931216931216931,0.9410381317138672, , 
classic,entropy,Irrelevant,4,50,3,0.9305555555555556,0.931216931216931,0.9508132934570312, , 
classic,entropy,Irrelevant,4,50,5,0.9305555555555556,0.931216931216931,0.9567737579345703, , 
classic,entropy,Irrelevant,4,50,10,0.9305555555555556,0.931216931216931,1.0118484497070312, , 
classic,entropy,Irrelevant,4,50,25,0.9305555555555556,0.931216931216931,0.9279251098632812, , 
classic,entropy,Irrelevant,5,2,1,0.9513888888888888,0.951465093411996,0.9529590606689453, , 
classic,entropy,Irrelevant,5,3,1,0.9375,0.9377733098768535,0.9839534759521484, , 
classic,entropy,Irrelevant,5,5,1,0.9375,0.9379217273954116,0.9510517120361328, , 
classic,entropy,Irrelevant,5,5,3,0.9583333333333334,0.9584593668078243,0.9160041809082031, , 
classic,entropy,Irrelevant,5,10,1,0.9513888888888888,0.9513072394428327,1.071929931640625, , 
classic,entropy,Irrelevant,5,10,3,0.9513888888888888,0.9513072394428327,0.9870529174804688, , 
classic,entropy,Irrelevant,5,10,5,0.9513888888888888,0.9513072394428327,0.9188652038574219, , 
classic,entropy,Irrelevant,5,25,1,0.9513888888888888,0.9513072394428327,0.8990764617919922, , 
classic,entropy,Irrelevant,5,25,3,0.9513888888888888,0.9513072394428327,0.9038448333740234, , 
classic,entropy,Irrelevant,5,25,5,0.9513888888888888,0.9513072394428327,1.013040542602539, , 
classic,entropy,Irrelevant,5,25,10,0.9513888888888888,0.951465093411996,0.8749961853027344, , 
classic,entropy,Irrelevant,5,50,1,0.9305555555555556,0.931216931216931,0.865936279296875, , 
classic,entropy,Irrelevant,5,50,3,0.9305555555555556,0.931216931216931,0.8440017700195312, , 
classic,entropy,Irrelevant,5,50,5,0.9305555555555556,0.931216931216931,0.8380413055419922, , 
classic,entropy,Irrelevant,5,50,10,0.9305555555555556,0.931216931216931,0.8521080017089844, , 
classic,entropy,Irrelevant,5,50,25,0.9305555555555556,0.931216931216931,0.8590221405029297, , 
classic,entropy,Irrelevant,6,2,1,0.9513888888888888,0.951465093411996,0.9667873382568359, , 
classic,entropy,Irrelevant,6,3,1,0.9513888888888888,0.951465093411996,1.0559558868408203, , 
classic,entropy,Irrelevant,6,5,1,0.9375,0.9379217273954116,0.9558200836181641, , 
classic,entropy,Irrelevant,6,5,3,0.9583333333333334,0.9584593668078243,0.9508132934570312, , 
classic,entropy,Irrelevant,6,10,1,0.9513888888888888,0.9513072394428327,0.9291172027587891, , 
classic,entropy,Irrelevant,6,10,3,0.9513888888888888,0.9513072394428327,0.9200572967529297, , 
classic,entropy,Irrelevant,6,10,5,0.9513888888888888,0.9513072394428327,0.904083251953125, , 
classic,entropy,Irrelevant,6,25,1,0.9513888888888888,0.9513072394428327,0.8661746978759766, , 
classic,entropy,Irrelevant,6,25,3,0.9513888888888888,0.9513072394428327,0.8692741394042969, , 
classic,entropy,Irrelevant,6,25,5,0.9513888888888888,0.9513072394428327,0.8897781372070312, , 
classic,entropy,Irrelevant,6,25,10,0.9513888888888888,0.951465093411996,0.8540153503417969, , 
classic,entropy,Irrelevant,6,50,1,0.9305555555555556,0.931216931216931,0.9069442749023438, , 
classic,entropy,Irrelevant,6,50,3,0.9305555555555556,0.931216931216931,0.9229183197021484, , 
classic,entropy,Irrelevant,6,50,5,0.9305555555555556,0.931216931216931,1.127004623413086, , 
classic,entropy,Irrelevant,6,50,10,0.9305555555555556,0.931216931216931,0.8649826049804688, , 
classic,entropy,Irrelevant,6,50,25,0.9305555555555556,0.931216931216931,0.9181499481201172, , 
classic,entropy,Irrelevant,7,2,1,0.9513888888888888,0.951465093411996,0.9500980377197266, , 
classic,entropy,Irrelevant,7,3,1,0.9375,0.9377733098768535,0.9431838989257812, , 
classic,entropy,Irrelevant,7,5,1,0.9375,0.9379217273954116,0.926971435546875, , 
classic,entropy,Irrelevant,7,5,3,0.9583333333333334,0.9584593668078243,1.0540485382080078, , 
classic,entropy,Irrelevant,7,10,1,0.9513888888888888,0.9513072394428327,0.9860992431640625, , 
classic,entropy,Irrelevant,7,10,3,0.9513888888888888,0.9513072394428327,1.0890960693359375, , 
classic,entropy,Irrelevant,7,10,5,0.9513888888888888,0.9513072394428327,0.9899139404296875, , 
classic,entropy,Irrelevant,7,25,1,0.9513888888888888,0.9513072394428327,1.0008811950683594, , 
classic,entropy,Irrelevant,7,25,3,0.9513888888888888,0.9513072394428327,0.9191036224365234, , 
classic,entropy,Irrelevant,7,25,5,0.9513888888888888,0.9513072394428327,0.8761882781982422, , 
classic,entropy,Irrelevant,7,25,10,0.9513888888888888,0.951465093411996,0.9379386901855469, , 
classic,entropy,Irrelevant,7,50,1,0.9305555555555556,0.931216931216931,0.8630752563476562, , 
classic,entropy,Irrelevant,7,50,3,0.9305555555555556,0.931216931216931,0.8502006530761719, , 
classic,entropy,Irrelevant,7,50,5,0.9305555555555556,0.931216931216931,0.84686279296875, , 
classic,entropy,Irrelevant,7,50,10,0.9305555555555556,0.931216931216931,0.8540153503417969, , 
classic,entropy,Irrelevant,7,50,25,0.9305555555555556,0.931216931216931,0.8287429809570312, , 
classic,entropy,Irrelevant,8,2,1,0.9375,0.9377733098768535,0.9217262268066406, , 
classic,entropy,Irrelevant,8,3,1,0.9375,0.9377733098768535,0.9131431579589844, , 
classic,entropy,Irrelevant,8,5,1,0.9375,0.9379217273954116,0.9021759033203125, , 
classic,entropy,Irrelevant,8,5,3,0.9583333333333334,0.9584593668078243,0.885009765625, , 
classic,entropy,Irrelevant,8,10,1,0.9513888888888888,0.9513072394428327,0.8771419525146484, , 
classic,entropy,Irrelevant,8,10,3,0.9513888888888888,0.9513072394428327,0.9253025054931641, , 
classic,entropy,Irrelevant,8,10,5,0.9513888888888888,0.9513072394428327,0.8988380432128906, , 
classic,entropy,Irrelevant,8,25,1,0.9513888888888888,0.9513072394428327,0.8821487426757812, , 
classic,entropy,Irrelevant,8,25,3,0.9513888888888888,0.9513072394428327,0.9191036224365234, , 
classic,entropy,Irrelevant,8,25,5,0.9513888888888888,0.9513072394428327,0.8587837219238281, , 
classic,entropy,Irrelevant,8,25,10,0.9513888888888888,0.951465093411996,0.8490085601806641, , 
classic,entropy,Irrelevant,8,50,1,0.9305555555555556,0.931216931216931,0.8318424224853516, , 
classic,entropy,Irrelevant,8,50,3,0.9305555555555556,0.931216931216931,0.8461475372314453, , 
classic,entropy,Irrelevant,8,50,5,0.9305555555555556,0.931216931216931,0.8480548858642578, , 
classic,entropy,Irrelevant,8,50,10,0.9305555555555556,0.931216931216931,0.8540153503417969, , 
classic,entropy,Irrelevant,8,50,25,0.9305555555555556,0.931216931216931,0.8711814880371094, , 
classic,entropy,Irrelevant,25,2,1,0.9513888888888888,0.951465093411996,1.0650157928466797, , 
classic,entropy,Irrelevant,25,3,1,0.9375,0.9377733098768535,1.0080337524414062, , 
classic,entropy,Irrelevant,25,5,1,0.9375,0.9379217273954116,0.9071826934814453, , 
classic,entropy,Irrelevant,25,5,3,0.9583333333333334,0.9584593668078243,0.9121894836425781, , 
classic,entropy,Irrelevant,25,10,1,0.9513888888888888,0.9513072394428327,0.9779930114746094, , 
classic,entropy,Irrelevant,25,10,3,0.9513888888888888,0.9513072394428327,0.9889602661132812, , 
classic,entropy,Irrelevant,25,10,5,0.9513888888888888,0.9513072394428327,0.9291172027587891, , 
classic,entropy,Irrelevant,25,25,1,0.9513888888888888,0.9513072394428327,0.9131431579589844, , 
classic,entropy,Irrelevant,25,25,3,0.9513888888888888,0.9513072394428327,0.9007453918457031, , 
classic,entropy,Irrelevant,25,25,5,0.9513888888888888,0.9513072394428327,1.0280609130859375, , 
classic,entropy,Irrelevant,25,25,10,0.9513888888888888,0.951465093411996,0.9882450103759766, , 
classic,entropy,Irrelevant,25,50,1,0.9305555555555556,0.931216931216931,0.8862018585205078, , 
classic,entropy,Irrelevant,25,50,3,0.9305555555555556,0.931216931216931,0.9629726409912109, , 
classic,entropy,Irrelevant,25,50,5,0.9305555555555556,0.931216931216931,0.9090900421142578, , 
classic,entropy,Irrelevant,25,50,10,0.9305555555555556,0.931216931216931,1.0848045349121094, , 
classic,entropy,Irrelevant,25,50,25,0.9305555555555556,0.931216931216931,1.1279582977294922, , 
classic,entropy,Irrelevant,50,2,1,0.9513888888888888,0.951465093411996,1.2018680572509766, , 
classic,entropy,Irrelevant,50,3,1,0.9513888888888888,0.951465093411996,1.0209083557128906, , 
classic,entropy,Irrelevant,50,5,1,0.9513888888888888,0.9516014632375528,0.9410381317138672, , 
classic,entropy,Irrelevant,50,5,3,0.9583333333333334,0.9584593668078243,0.9169578552246094, , 
classic,entropy,Irrelevant,50,10,1,0.9513888888888888,0.9513072394428327,1.0030269622802734, , 
classic,entropy,Irrelevant,50,10,3,0.9513888888888888,0.9513072394428327,1.0039806365966797, , 
classic,entropy,Irrelevant,50,10,5,0.9513888888888888,0.9513072394428327,1.0259151458740234, , 
classic,entropy,Irrelevant,50,25,1,0.9513888888888888,0.9513072394428327,0.9319782257080078, , 
classic,entropy,Irrelevant,50,25,3,0.9513888888888888,0.9513072394428327,1.0569095611572266, , 
classic,entropy,Irrelevant,50,25,5,0.9513888888888888,0.9513072394428327,0.8561611175537109, , 
classic,entropy,Irrelevant,50,25,10,0.9513888888888888,0.951465093411996,0.9441375732421875, , 
classic,entropy,Irrelevant,50,50,1,0.9305555555555556,0.931216931216931,0.8609294891357422, , 
