Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.98,0.98,697.1960067749023,15.37404446999232,922.4426681995392
classic,entropy,0,2,3,1,0.98,0.98,692.1801567077637, , 
classic,entropy,0,2,5,1,0.98,0.98,688.7331008911133, , 
classic,entropy,0,2,5,3,0.98,0.98,703.3159732818604, , 
classic,entropy,0,2,10,1,0.98,0.98,700.9351253509521, , 
classic,entropy,0,2,10,3,0.98,0.98,712.3043537139893, , 
classic,entropy,0,2,10,5,0.98,0.98,715.5470848083496, , 
classic,entropy,0,2,25,1,0.98,0.98,709.057092666626, , 
classic,entropy,0,2,25,3,0.98,0.98,699.9320983886719, , 
classic,entropy,0,2,25,5,0.98,0.98,769.1969871520996, , 
classic,entropy,0,2,25,10,0.98,0.98,710.1566791534424, , 
classic,entropy,0,2,50,1,0.98,0.98,704.4990062713623, , 
classic,entropy,0,2,50,3,0.98,0.98,730.8449745178223, , 
classic,entropy,0,2,50,5,0.98,0.98,722.2661972045898, , 
classic,entropy,0,2,50,10,0.98,0.98,718.1041240692139, , 
classic,entropy,0,2,50,25,0.98,0.98,706.0279846191406, , 
classic,entropy,0,3,2,1,0.98,0.98,1235.5420589447021, , 
classic,entropy,0,3,3,1,0.98,0.98,1241.664171218872, , 
classic,entropy,0,3,5,1,0.98,0.98,1260.7731819152832, , 
classic,entropy,0,3,5,3,0.98,0.98,1216.614007949829, , 
classic,entropy,0,3,10,1,0.98,0.98,1206.404685974121, , 
classic,entropy,0,3,10,3,0.98,0.98,1216.4018154144287, , 
classic,entropy,0,3,10,5,0.98,0.98,1247.1990585327148, , 
classic,entropy,0,3,25,1,0.98,0.98,1221.527099609375, , 
classic,entropy,0,3,25,3,0.98,0.98,1209.4311714172363, , 
classic,entropy,0,3,25,5,0.98,0.98,1212.0180130004883, , 
classic,entropy,0,3,25,10,0.98,0.98,1209.200143814087, , 
classic,entropy,0,3,50,1,0.98,0.98,690.1271343231201, , 
classic,entropy,0,3,50,3,0.98,0.98,691.8237209320068, , 
classic,entropy,0,3,50,5,0.98,0.98,687.9501342773438, , 
classic,entropy,0,3,50,10,0.98,0.98,691.3058757781982, , 
classic,entropy,0,3,50,25,0.98,0.98,687.1569156646729, , 
classic,entropy,0,4,2,1,0.98,0.98,1644.9708938598633, , 
classic,entropy,0,4,3,1,0.98,0.98,1639.4522190093994, , 
classic,entropy,0,4,5,1,0.98,0.98,1492.2330379486084, , 
classic,entropy,0,4,5,3,0.98,0.98,1254.0690898895264, , 
classic,entropy,0,4,10,1,0.98,0.98,1619.5521354675293, , 
classic,entropy,0,4,10,3,0.98,0.98,1243.786096572876, , 
classic,entropy,0,4,10,5,0.98,0.98,1265.5882835388184, , 
classic,entropy,0,4,25,1,0.98,0.98,1574.9151706695557, , 
