Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.9383116883116883,0.9270382748367093,241112.85424232483,471.6331730167071,28297.990381002426
classic,entropy,0,2,3,1,0.9383116883116883,0.9270382748367093,232799.0038394928, , 
classic,entropy,0,2,5,1,0.9383116883116883,0.9261183261183262,215175.0509738922, , 
classic,entropy,0,2,5,3,0.9285714285714286,0.8941798941798943,22991.64605140686, , 
classic,entropy,0,2,10,1,0.935064935064935,0.9172549775518236,179144.7319984436, , 
classic,entropy,0,2,10,3,0.9285714285714286,0.8941798941798943,23102.6349067688, , 
classic,entropy,0,2,10,5,0.9285714285714286,0.8941798941798943,23155.13300895691, , 
classic,entropy,0,2,25,1,0.9318181818181818,0.9066154657525215,64715.93403816223, , 
classic,entropy,0,2,25,3,0.9285714285714286,0.8941798941798943,23132.976770401, , 
classic,entropy,0,2,25,5,0.9285714285714286,0.8941798941798943,23128.021955490112, , 
classic,entropy,0,2,25,10,0.9285714285714286,0.8941798941798943,23122.579097747803, , 
classic,entropy,0,2,50,1,0.9285714285714286,0.8941798941798943,23845.357179641724, , 
classic,entropy,0,2,50,3,0.9285714285714286,0.8941798941798943,23214.398860931396, , 
classic,entropy,0,2,50,5,0.9285714285714286,0.8941798941798943,23127.872228622437, , 
classic,entropy,0,2,50,10,0.9285714285714286,0.8941798941798943,23172.34778404236, , 
classic,entropy,0,2,50,25,0.9285714285714286,0.8941798941798943,23165.664672851562, , 
classic,entropy,0,3,2,1,0.922077922077922,0.9148762660975838,300719.3880081177, , 
classic,entropy,0,3,3,1,0.922077922077922,0.9148762660975838,299955.5571079254, , 
classic,entropy,0,3,5,1,0.922077922077922,0.9139573070607552,268970.9219932556, , 
classic,entropy,0,3,5,3,0.9285714285714286,0.8941798941798943,23142.889261245728, , 
classic,entropy,0,3,10,1,0.9253246753246753,0.9104184704184705,215529.9310684204, , 
classic,entropy,0,3,10,3,0.9285714285714286,0.8941798941798943,23019.03510093689, , 
classic,entropy,0,3,10,5,0.9285714285714286,0.8941798941798943,22784.329891204834, , 
classic,entropy,0,3,25,1,0.9318181818181818,0.9066154657525215,73734.64798927307, , 
classic,entropy,0,3,25,3,0.9285714285714286,0.8941798941798943,22974.944829940796, , 
classic,entropy,0,3,25,5,0.9285714285714286,0.8941798941798943,22879.349946975708, , 
classic,entropy,0,3,25,10,0.9285714285714286,0.8941798941798943,23109.4810962677, , 
classic,entropy,0,3,50,1,0.9285714285714286,0.8941798941798943,23916.017055511475, , 
classic,entropy,0,3,50,3,0.9285714285714286,0.8941798941798943,23113.869190216064, , 
classic,entropy,0,3,50,5,0.9285714285714286,0.8941798941798943,23125.48303604126, , 
classic,entropy,0,3,50,10,0.9285714285714286,0.8941798941798943,23136.894941329956, , 
classic,entropy,0,3,50,25,0.9285714285714286,0.8941798941798943,23195.957899093628, , 
classic,entropy,0,4,2,1,0.9318181818181818,0.922017354270668,342287.3909473419, , 
classic,entropy,0,4,3,1,0.9318181818181818,0.922017354270668,334852.5049686432, , 
classic,entropy,0,4,5,1,0.9188311688311688,0.9116587908164039,289920.07327079773, , 
classic,entropy,0,4,5,3,0.9285714285714286,0.8941798941798943,23034.57808494568, , 
classic,entropy,0,4,10,1,0.922077922077922,0.9082264767196274,225021.87991142273, , 
classic,entropy,0,4,10,3,0.9285714285714286,0.8941798941798943,23127.521753311157, , 
classic,entropy,0,4,10,5,0.9285714285714286,0.8941798941798943,22808.69197845459, , 
classic,entropy,0,4,25,1,0.9318181818181818,0.9066154657525215,73999.09114837646, , 
classic,entropy,0,4,25,3,0.9285714285714286,0.8941798941798943,22739.3479347229, , 
classic,entropy,0,4,25,5,0.9285714285714286,0.8941798941798943,23147.789001464844, , 
classic,entropy,0,4,25,10,0.9285714285714286,0.8941798941798943,23052.289962768555, , 
classic,entropy,0,4,50,1,0.9285714285714286,0.8941798941798943,23407.70411491394, , 
classic,entropy,0,4,50,3,0.9285714285714286,0.8941798941798943,22740.946054458618, , 
classic,entropy,0,4,50,5,0.9285714285714286,0.8941798941798943,22745.924949645996, , 
classic,entropy,0,4,50,10,0.9285714285714286,0.8941798941798943,22953.43780517578, , 
classic,entropy,0,4,50,25,0.9285714285714286,0.8941798941798943,23205.500841140747, , 
classic,entropy,0,5,2,1,0.9318181818181818,0.922017354270668,347506.8280696869, , 
classic,entropy,0,5,3,1,0.9318181818181818,0.922017354270668,333662.85371780396, , 
classic,entropy,0,5,5,1,0.9188311688311688,0.9116587908164039,291192.49296188354, , 
classic,entropy,0,5,5,3,0.9285714285714286,0.8941798941798943,23124.802112579346, , 
classic,entropy,0,5,10,1,0.922077922077922,0.9082264767196274,224663.7568473816, , 
classic,entropy,0,5,10,3,0.9285714285714286,0.8941798941798943,22816.73502922058, , 
classic,entropy,0,5,10,5,0.9285714285714286,0.8941798941798943,22838.625192642212, , 
classic,entropy,0,5,25,1,0.9318181818181818,0.9066154657525215,74254.41694259644, , 
classic,entropy,0,5,25,3,0.9285714285714286,0.8941798941798943,22750.720024108887, , 
classic,entropy,0,5,25,5,0.9285714285714286,0.8941798941798943,22871.96636199951, , 
classic,entropy,0,5,25,10,0.9285714285714286,0.8941798941798943,22759.13906097412, , 
classic,entropy,0,5,50,1,0.9285714285714286,0.8941798941798943,23531.469106674194, , 
classic,entropy,0,5,50,3,0.9285714285714286,0.8941798941798943,23010.295867919922, , 
classic,entropy,0,5,50,5,0.9285714285714286,0.8941798941798943,23130.019664764404, , 
classic,entropy,0,5,50,10,0.9285714285714286,0.8941798941798943,23097.193002700806, , 
classic,entropy,0,5,50,25,0.9285714285714286,0.8941798941798943,23108.52599143982, , 
classic,entropy,0,6,2,1,0.9318181818181818,0.922017354270668,348035.60996055603, , 
classic,entropy,0,6,3,1,0.9318181818181818,0.922017354270668,333063.5256767273, , 
classic,entropy,0,6,5,1,0.9188311688311688,0.9116587908164039,291919.5251464844, , 
classic,entropy,0,6,5,3,0.9285714285714286,0.8941798941798943,23129.081964492798, , 
classic,entropy,0,6,10,1,0.922077922077922,0.9082264767196274,224591.59088134766, , 
classic,entropy,0,6,10,3,0.9285714285714286,0.8941798941798943,22792.42992401123, , 
classic,entropy,0,6,10,5,0.9285714285714286,0.8941798941798943,22717.505931854248, , 
classic,entropy,0,6,25,1,0.9318181818181818,0.9066154657525215,73600.0669002533, , 
classic,entropy,0,6,25,3,0.9285714285714286,0.8941798941798943,22848.920106887817, , 
classic,entropy,0,6,25,5,0.9285714285714286,0.8941798941798943,22767.65489578247, , 
classic,entropy,0,6,25,10,0.9285714285714286,0.8941798941798943,22746.24013900757, , 
classic,entropy,0,6,50,1,0.9285714285714286,0.8941798941798943,23709.38014984131, , 
classic,entropy,0,6,50,3,0.9285714285714286,0.8941798941798943,23167.668104171753, , 
classic,entropy,0,6,50,5,0.9285714285714286,0.8941798941798943,23129.624843597412, , 
classic,entropy,0,6,50,10,0.9285714285714286,0.8941798941798943,23144.41990852356, , 
classic,entropy,0,6,50,25,0.9285714285714286,0.8941798941798943,23127.174139022827, , 
classic,entropy,0,7,2,1,0.9318181818181818,0.922017354270668,347518.9290046692, , 
classic,entropy,0,7,3,1,0.9318181818181818,0.922017354270668,333056.5969944, , 
classic,entropy,0,7,5,1,0.9188311688311688,0.9116587908164039,291686.9339942932, , 
classic,entropy,0,7,5,3,0.9285714285714286,0.8941798941798943,23240.92984199524, , 
classic,entropy,0,7,10,1,0.922077922077922,0.9082264767196274,225140.1011943817, , 
classic,entropy,0,7,10,3,0.9285714285714286,0.8941798941798943,22805.16028404236, , 
classic,entropy,0,7,10,5,0.9285714285714286,0.8941798941798943,22760.387182235718, , 
