Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.935064935064935,0.9130330378404339,5.747079849243164,0.11315896908442179,6.789538145065308
classic,entropy,0,2,3,1,0.935064935064935,0.9130330378404339,2.3860931396484375, , 
classic,entropy,0,2,5,1,0.935064935064935,0.9130330378404339,2.1538734436035156, , 
classic,entropy,0,2,5,3,0.935064935064935,0.9130330378404339,2.1419525146484375, , 
classic,entropy,0,2,10,1,0.935064935064935,0.9130330378404339,2.0689964294433594, , 
classic,entropy,0,2,10,3,0.935064935064935,0.9130330378404339,2.3529529571533203, , 
classic,entropy,0,2,10,5,0.935064935064935,0.9130330378404339,2.244234085083008, , 
classic,entropy,0,2,25,1,0.935064935064935,0.9130330378404339,2.0051002502441406, , 
classic,entropy,0,2,25,3,0.935064935064935,0.9130330378404339,2.2962093353271484, , 
classic,entropy,0,2,25,5,0.935064935064935,0.9130330378404339,2.4099349975585938, , 
classic,entropy,0,2,25,10,0.935064935064935,0.9130330378404339,2.4819374084472656, , 
classic,entropy,0,2,50,1,0.935064935064935,0.9130330378404339,2.0821094512939453, , 
classic,entropy,0,2,50,3,0.935064935064935,0.9130330378404339,1.9800662994384766, , 
classic,entropy,0,2,50,5,0.935064935064935,0.9130330378404339,2.2280216217041016, , 
classic,entropy,0,2,50,10,0.935064935064935,0.9130330378404339,1.9602775573730469, , 
classic,entropy,0,2,50,25,0.9285714285714286,0.8941798941798943,2.2819042205810547, , 
classic,entropy,0,3,2,1,0.9285714285714286,0.9014206605577164,2.2270679473876953, , 
classic,entropy,0,3,3,1,0.9285714285714286,0.9014206605577164,2.5637149810791016, , 
classic,entropy,0,3,5,1,0.9285714285714286,0.9014206605577164,2.4881362915039062, , 
classic,entropy,0,3,5,3,0.9285714285714286,0.8999078624078625,2.1660327911376953, , 
classic,entropy,0,3,10,1,0.9285714285714286,0.9014206605577164,2.321958541870117, , 
classic,entropy,0,3,10,3,0.9285714285714286,0.8999078624078625,2.198934555053711, , 
classic,entropy,0,3,10,5,0.935064935064935,0.9130330378404339,2.360820770263672, , 
classic,entropy,0,3,25,1,0.935064935064935,0.9145561183684353,2.153158187866211, , 
classic,entropy,0,3,25,3,0.935064935064935,0.9130330378404339,2.1219253540039062, , 
classic,entropy,0,3,25,5,0.935064935064935,0.9130330378404339,2.4979114532470703, , 
classic,entropy,0,3,25,10,0.935064935064935,0.9130330378404339,2.1419525146484375, , 
classic,entropy,0,3,50,1,0.935064935064935,0.9145561183684353,2.319812774658203, , 
classic,entropy,0,3,50,3,0.935064935064935,0.9130330378404339,2.4280548095703125, , 
classic,entropy,0,3,50,5,0.935064935064935,0.9130330378404339,2.3658275604248047, , 
classic,entropy,0,3,50,10,0.935064935064935,0.9130330378404339,2.359628677368164, , 
classic,entropy,0,3,50,25,0.922077922077922,0.9140790005841911,2.123117446899414, , 
classic,entropy,0,4,2,1,0.935064935064935,0.9140782412671815,2.586841583251953, , 
classic,entropy,0,4,3,1,0.935064935064935,0.9140782412671815,2.5720596313476562, , 
classic,entropy,0,4,5,1,0.9318181818181818,0.9072675911658963,2.6519298553466797, , 
classic,entropy,0,4,5,3,0.9318181818181818,0.9066154657525215,2.407073974609375, , 
classic,entropy,0,4,10,1,0.9318181818181818,0.9072675911658963,2.4209022521972656, , 
classic,entropy,0,4,10,3,0.9318181818181818,0.9066154657525215,2.3500919342041016, , 
classic,entropy,0,4,10,5,0.935064935064935,0.9130330378404339,2.373933792114258, , 
classic,entropy,0,4,25,1,0.9383116883116883,0.9204133837714543,2.3872852325439453, , 
classic,entropy,0,4,25,3,0.9383116883116883,0.9197509235632404,2.6521682739257812, , 
classic,entropy,0,4,25,5,0.935064935064935,0.9130330378404339,2.5060176849365234, , 
classic,entropy,0,4,25,10,0.935064935064935,0.9130330378404339,2.465963363647461, , 
classic,entropy,0,4,50,1,0.9383116883116883,0.9204133837714543,2.708911895751953, , 
classic,entropy,0,4,50,3,0.9383116883116883,0.9197509235632404,2.6907920837402344, , 
classic,entropy,0,4,50,5,0.935064935064935,0.9130330378404339,2.4929046630859375, , 
classic,entropy,0,4,50,10,0.935064935064935,0.9130330378404339,2.4569034576416016, , 
classic,entropy,0,4,50,25,0.922077922077922,0.9140790005841911,2.360820770263672, , 
classic,entropy,0,5,2,1,0.935064935064935,0.9140782412671815,2.891063690185547, , 
classic,entropy,0,5,3,1,0.935064935064935,0.9140782412671815,3.0760765075683594, , 
classic,entropy,0,5,5,1,0.9318181818181818,0.9072675911658963,3.122091293334961, , 
classic,entropy,0,5,5,3,0.9318181818181818,0.9066154657525215,2.6519298553466797, , 
classic,entropy,0,5,10,1,0.9318181818181818,0.9072675911658963,3.113985061645508, , 
classic,entropy,0,5,10,3,0.9318181818181818,0.9066154657525215,2.87628173828125, , 
classic,entropy,0,5,10,5,0.922077922077922,0.9152227083261565,2.6826858520507812, , 
classic,entropy,0,5,25,1,0.9383116883116883,0.9204133837714543,2.9358863830566406, , 
classic,entropy,0,5,25,3,0.9383116883116883,0.9197509235632404,2.5548934936523438, , 
classic,entropy,0,5,25,5,0.922077922077922,0.9152227083261565,2.499818801879883, , 
classic,entropy,0,5,25,10,0.9318181818181818,0.9140529657735791,2.4728775024414062, , 
classic,entropy,0,5,50,1,0.9383116883116883,0.9204133837714543,2.590179443359375, , 
classic,entropy,0,5,50,3,0.9383116883116883,0.9197509235632404,2.4900436401367188, , 
classic,entropy,0,5,50,5,0.935064935064935,0.9130330378404339,2.8808116912841797, , 
classic,entropy,0,5,50,10,0.935064935064935,0.9130330378404339,2.8238296508789062, , 
classic,entropy,0,5,50,25,0.922077922077922,0.9140790005841911,2.3419857025146484, , 
classic,entropy,0,6,2,1,0.9285714285714286,0.9097301457364734,2.6330947875976562, , 
