Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,Irrelevant,2,2,1,0.6555555555555556,0.6573090909090908,1.631021499633789,0.04711039463678996,2.8266236782073975
classic,entropy,Irrelevant,2,3,1,0.6555555555555556,0.6573090909090908,1.1091232299804688, , 
classic,entropy,Irrelevant,2,5,1,0.6555555555555556,0.6573090909090908,1.0690689086914062, , 
classic,entropy,Irrelevant,2,5,3,0.6555555555555556,0.6573090909090908,1.071929931640625, , 
classic,entropy,Irrelevant,2,10,1,0.6555555555555556,0.6573090909090908,1.1508464813232422, , 
classic,entropy,Irrelevant,2,10,3,0.6555555555555556,0.6573090909090908,0.9980201721191406, , 
classic,entropy,Irrelevant,2,10,5,0.6777777777777778,0.6229068229068229,0.988006591796875, , 
classic,entropy,Irrelevant,2,25,1,0.6555555555555556,0.6573090909090908,1.0790824890136719, , 
classic,entropy,Irrelevant,2,25,3,0.6555555555555556,0.6573090909090908,1.0769367218017578, , 
classic,entropy,Irrelevant,2,25,5,0.6777777777777778,0.6229068229068229,0.9698867797851562, , 
classic,entropy,Irrelevant,2,25,10,0.6777777777777778,0.6229068229068229,0.92315673828125, , 
classic,entropy,Irrelevant,2,50,1,0.6555555555555556,0.6573090909090908,1.1179447174072266, , 
classic,entropy,Irrelevant,2,50,3,0.6555555555555556,0.6573090909090908,0.9169578552246094, , 
classic,entropy,Irrelevant,2,50,5,0.6777777777777778,0.6229068229068229,1.1017322540283203, , 
classic,entropy,Irrelevant,2,50,10,0.6777777777777778,0.6229068229068229,1.0387897491455078, , 
classic,entropy,Irrelevant,2,50,25,0.6777777777777778,0.6229068229068229,0.8928775787353516, , 
classic,entropy,Irrelevant,3,2,1,0.6888888888888889,0.6409191994069681,0.9419918060302734, , 
classic,entropy,Irrelevant,3,3,1,0.6888888888888889,0.6409191994069681,0.9999275207519531, , 
