Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.7818181818181819,0.7768991481815275,201342.50617027283,3679.902791961034,220794.16751766205
classic,entropy,0,2,3,1,0.7818181818181819,0.7768991481815275,197481.6529750824, , 
classic,entropy,0,2,5,1,0.7818181818181819,0.7768991481815275,201836.24815940857, , 
classic,entropy,0,2,5,3,0.7818181818181819,0.7768991481815275,202166.35513305664, , 
classic,entropy,0,2,10,1,0.7818181818181819,0.7768991481815275,200704.72383499146, , 
classic,entropy,0,2,10,3,0.7818181818181819,0.7768991481815275,203105.88812828064, , 
classic,entropy,0,2,10,5,0.7818181818181819,0.7768991481815275,204081.47931098938, , 
classic,entropy,0,2,25,1,0.7818181818181819,0.7768991481815275,203270.74098587036, , 
classic,entropy,0,2,25,3,0.7818181818181819,0.7768991481815275,201643.09406280518, , 
classic,entropy,0,2,25,5,0.7818181818181819,0.7768991481815275,201315.67883491516, , 
classic,entropy,0,2,25,10,0.7818181818181819,0.7768991481815275,202181.1580657959, , 
classic,entropy,0,2,50,1,0.7818181818181819,0.7768991481815275,149120.42713165283, , 
classic,entropy,0,2,50,3,0.7818181818181819,0.7768991481815275,149513.3879184723, , 
classic,entropy,0,2,50,5,0.7818181818181819,0.7768991481815275,151141.36385917664, , 
classic,entropy,0,2,50,10,0.7818181818181819,0.7768991481815275,150703.3441066742, , 
classic,entropy,0,2,50,25,0.7818181818181819,0.7768991481815275,149867.85888671875, , 
classic,entropy,0,3,2,1,0.8424242424242424,0.8431682035093548,355677.1800518036, , 
classic,entropy,0,3,3,1,0.8424242424242424,0.8431682035093548,354701.1647224426, , 
classic,entropy,0,3,5,1,0.8424242424242424,0.8431682035093548,354767.30394363403, , 
classic,entropy,0,3,5,3,0.8424242424242424,0.8431682035093548,358700.138092041, , 
classic,entropy,0,3,10,1,0.8424242424242424,0.8431682035093548,356697.0238685608, , 
classic,entropy,0,3,10,3,0.8424242424242424,0.8431682035093548,356185.28485298157, , 
classic,entropy,0,3,10,5,0.8242424242424242,0.8257915324094842,358978.78909111023, , 
classic,entropy,0,3,25,1,0.8242424242424242,0.8257915324094842,317362.9789352417, , 
classic,entropy,0,3,25,3,0.8242424242424242,0.8257915324094842,316214.9131298065, , 
classic,entropy,0,3,25,5,0.8242424242424242,0.8257915324094842,312304.7659397125, , 
classic,entropy,0,3,25,10,0.8242424242424242,0.8257915324094842,312866.2779331207, , 
classic,entropy,0,3,50,1,0.8242424242424242,0.8257915324094842,217419.17395591736, , 
classic,entropy,0,3,50,3,0.8242424242424242,0.8257915324094842,217362.98990249634, , 
classic,entropy,0,3,50,5,0.8242424242424242,0.8257915324094842,218633.20517539978, , 
classic,entropy,0,3,50,10,0.8242424242424242,0.8257915324094842,217906.1119556427, , 
classic,entropy,0,3,50,25,0.8242424242424242,0.8257915324094842,216870.3179359436, , 
classic,entropy,0,4,2,1,0.793939393939394,0.7926887926887927,574065.279006958, , 
classic,entropy,0,4,3,1,0.793939393939394,0.7926887926887927,569232.4328422546, , 
classic,entropy,0,4,5,1,0.793939393939394,0.7926887926887927,543859.7359657288, , 
classic,entropy,0,4,5,3,0.806060606060606,0.8041928840550826,535062.8530979156, , 
classic,entropy,0,4,10,1,0.806060606060606,0.8041928840550826,496452.7769088745, , 
classic,entropy,0,4,10,3,0.806060606060606,0.8041928840550826,495928.5707473755, , 
classic,entropy,0,4,10,5,0.7878787878787878,0.7875842773447771,496050.42719841003, , 
classic,entropy,0,4,25,1,0.7878787878787878,0.7875842773447771,419060.6551170349, , 
classic,entropy,0,4,25,3,0.7878787878787878,0.7875842773447771,419117.6791191101, , 
classic,entropy,0,4,25,5,0.7878787878787878,0.7875842773447771,418721.00591659546, , 
classic,entropy,0,4,25,10,0.7878787878787878,0.7875842773447771,418811.12480163574, , 
classic,entropy,0,4,50,1,0.8242424242424242,0.8257915324094842,285611.07301712036, , 
classic,entropy,0,4,50,3,0.8242424242424242,0.8257915324094842,286902.7147293091, , 
classic,entropy,0,4,50,5,0.8242424242424242,0.8257915324094842,285492.3439025879, , 
classic,entropy,0,4,50,10,0.8242424242424242,0.8257915324094842,283504.5940876007, , 
classic,entropy,0,4,50,25,0.8242424242424242,0.8257915324094842,286510.537147522, , 
classic,entropy,0,5,2,1,0.8242424242424242,0.8244716527351075,800088.3338451385, , 
classic,entropy,0,5,3,1,0.8242424242424242,0.8244716527351075,802170.0849533081, , 
classic,entropy,0,5,5,1,0.8242424242424242,0.8244716527351075,762221.6682434082, , 
classic,entropy,0,5,5,3,0.8363636363636363,0.8361364425231138,767565.4489994049, , 
classic,entropy,0,5,10,1,0.8363636363636363,0.8361364425231138,693869.4179058075, , 
classic,entropy,0,5,10,3,0.8363636363636363,0.8361364425231138,699301.6982078552, , 
classic,entropy,0,5,10,5,0.8181818181818182,0.8190402348184865,693089.0309810638, , 
classic,entropy,0,5,25,1,0.7878787878787878,0.7875842773447771,532780.6389331818, , 
classic,entropy,0,5,25,3,0.7878787878787878,0.7875842773447771,534656.5861701965, , 
classic,entropy,0,5,25,5,0.7878787878787878,0.7875842773447771,533311.7928504944, , 
classic,entropy,0,5,25,10,0.7878787878787878,0.7875842773447771,534959.9928855896, , 
classic,entropy,0,5,50,1,0.8242424242424242,0.8257915324094842,391266.7820453644, , 
classic,entropy,0,5,50,3,0.8242424242424242,0.8257915324094842,391766.6070461273, , 
classic,entropy,0,5,50,5,0.8242424242424242,0.8257915324094842,389310.4088306427, , 
classic,entropy,0,5,50,10,0.8242424242424242,0.8257915324094842,389968.4679508209, , 
classic,entropy,0,5,50,25,0.8242424242424242,0.8257915324094842,390807.99102783203, , 
classic,entropy,0,6,2,1,0.8303030303030303,0.8307315580042851,1055309.6199035645, , 
classic,entropy,0,6,3,1,0.8303030303030303,0.8307315580042851,1057666.0039424896, , 
classic,entropy,0,6,5,1,0.8303030303030303,0.8311042191639206,986570.0979232788, , 
classic,entropy,0,6,5,3,0.8424242424242424,0.8428221610039791,988291.1751270294, , 
classic,entropy,0,6,10,1,0.8424242424242424,0.8428221610039791,914382.091999054, , 
classic,entropy,0,6,10,3,0.8424242424242424,0.8428221610039791,912586.993932724, , 
classic,entropy,0,6,10,5,0.8181818181818182,0.8190402348184865,914148.9460468292, , 
classic,entropy,0,6,25,1,0.793939393939394,0.7944597490052034,714838.4337425232, , 
classic,entropy,0,6,25,3,0.793939393939394,0.7944597490052034,715321.5849399567, , 
classic,entropy,0,6,25,5,0.7878787878787878,0.7875842773447771,715391.5510177612, , 
classic,entropy,0,6,25,10,0.7878787878787878,0.7875842773447771,714965.9399986267, , 
classic,entropy,0,6,50,1,0.8242424242424242,0.8257915324094842,486999.46308135986, , 
classic,entropy,0,6,50,3,0.8242424242424242,0.8257915324094842,489857.0759296417, , 
classic,entropy,0,6,50,5,0.8242424242424242,0.8257915324094842,487742.3927783966, , 
classic,entropy,0,6,50,10,0.8242424242424242,0.8257915324094842,486653.1591415405, , 
classic,entropy,0,6,50,25,0.8242424242424242,0.8257915324094842,490414.4837856293, , 
classic,entropy,0,7,2,1,0.806060606060606,0.8076416337285902,1295594.1801071167, , 
classic,entropy,0,7,3,1,0.806060606060606,0.8076416337285902,1294609.845161438, , 
classic,entropy,0,7,5,1,0.806060606060606,0.80788334472545,1226864.1967773438, , 
classic,entropy,0,7,5,3,0.8363636363636363,0.8365770559947552,1227493.7500953674, , 
classic,entropy,0,7,10,1,0.8242424242424242,0.8257915324094842,1077107.4838638306, , 
classic,entropy,0,7,10,3,0.8424242424242424,0.8428221610039791,1080256.39295578, , 
classic,entropy,0,7,10,5,0.8181818181818182,0.8190402348184865,1038741.8732643127, , 
classic,entropy,0,7,25,1,0.793939393939394,0.7944597490052034,799596.1773395538, , 
classic,entropy,0,7,25,3,0.793939393939394,0.7944597490052034,799641.7801380157, , 
classic,entropy,0,7,25,5,0.7878787878787878,0.7875842773447771,799898.5769748688, , 
classic,entropy,0,7,25,10,0.7878787878787878,0.7875842773447771,799375.5352497101, , 
classic,entropy,0,7,50,1,0.8242424242424242,0.8257915324094842,533753.8068294525, , 
classic,entropy,0,7,50,3,0.8242424242424242,0.8257915324094842,535234.0841293335, , 
classic,entropy,0,7,50,5,0.8242424242424242,0.8257915324094842,532571.6559886932, , 
classic,entropy,0,7,50,10,0.8242424242424242,0.8257915324094842,533405.6181907654, , 
classic,entropy,0,7,50,25,0.8242424242424242,0.8257915324094842,531226.634979248, , 
classic,entropy,0,8,2,1,0.8,0.8017627782590682,1511783.991098404, , 
classic,entropy,0,8,3,1,0.8,0.8017627782590682,1519123.5988140106, , 
classic,entropy,0,8,5,1,0.8,0.8019813126196105,1389902.783870697, , 
classic,entropy,0,8,5,3,0.8303030303030303,0.8307315580042851,1299000.6790161133, , 
classic,entropy,0,8,10,1,0.8181818181818182,0.8198906356801093,1236524.0850448608, , 
classic,entropy,0,8,10,3,0.8363636363636363,0.8369631971021231,1152730.4146289825, , 
classic,entropy,0,8,10,5,0.8181818181818182,0.8190402348184865,1122267.4069404602, , 
classic,entropy,0,8,25,1,0.7878787878787878,0.7886559962434929,849604.5141220093, , 
classic,entropy,0,8,25,3,0.7878787878787878,0.7886559962434929,835126.1940002441, , 
classic,entropy,0,8,25,5,0.7878787878787878,0.7875842773447771,831751.4748573303, , 
classic,entropy,0,8,25,10,0.7878787878787878,0.7875842773447771,838021.4130878448, , 
classic,entropy,0,8,50,1,0.8242424242424242,0.8257915324094842,531027.1210670471, , 
classic,entropy,0,8,50,3,0.8242424242424242,0.8257915324094842,532434.3922138214, , 
classic,entropy,0,8,50,5,0.8242424242424242,0.8257915324094842,528259.0091228485, , 
classic,entropy,0,8,50,10,0.8242424242424242,0.8257915324094842,532736.2220287323, , 
classic,entropy,0,8,50,25,0.8242424242424242,0.8257915324094842,532567.1310424805, , 
classic,entropy,0,25,2,1,0.7636363636363637,0.7663007021529771,1964541.1281585693, , 
classic,entropy,0,25,3,1,0.7636363636363637,0.7663007021529771,1955392.2970294952, , 
classic,entropy,0,25,5,1,0.7454545454545455,0.7479338842975206,1761964.4632339478, , 
classic,entropy,0,25,5,3,0.8121212121212121,0.81319174652508,1367559.6406459808, , 
classic,entropy,0,25,10,1,0.806060606060606,0.8082552746042919,6484554.231882095, , 
classic,entropy,0,25,10,3,0.8363636363636363,0.8369631971021231,4107452.439069748, , 
classic,entropy,0,25,10,5,0.8181818181818182,0.8190402348184865,1111160.6659889221, , 
classic,entropy,0,25,25,1,0.7878787878787878,0.7894511852002114,989970.5741405487, , 
classic,entropy,0,25,25,3,0.7878787878787878,0.7886559962434929,869568.9737796783, , 
classic,entropy,0,25,25,5,0.7878787878787878,0.7875842773447771,838124.6688365936, , 
classic,entropy,0,25,25,10,0.7878787878787878,0.7875842773447771,826267.5020694733, , 
classic,entropy,0,25,50,1,0.8242424242424242,0.8257915324094842,527424.1180419922, , 
classic,entropy,0,25,50,3,0.8242424242424242,0.8257915324094842,527010.16664505, , 
classic,entropy,0,25,50,5,0.8242424242424242,0.8257915324094842,527379.6420097351, , 
classic,entropy,0,25,50,10,0.8242424242424242,0.8257915324094842,532601.1950969696, , 
classic,entropy,0,25,50,25,0.8242424242424242,0.8257915324094842,529130.3489208221, , 
classic,entropy,0,50,2,1,0.7636363636363637,0.7663007021529771,2000995.5430030823, , 
classic,entropy,0,50,3,1,0.7636363636363637,0.7663007021529771,1958981.8789958954, , 
classic,entropy,0,50,5,1,0.7454545454545455,0.7479338842975206,1755162.4121665955, , 
classic,entropy,0,50,5,3,0.8121212121212121,0.81319174652508,1363523.1051445007, , 
classic,entropy,0,50,10,1,0.806060606060606,0.8082552746042919,1432780.9488773346, , 
classic,entropy,0,50,10,3,0.8363636363636363,0.8369631971021231,1200600.2810001373, , 
classic,entropy,0,50,10,5,0.8181818181818182,0.8190402348184865,1114258.7728500366, , 
classic,entropy,0,50,25,1,0.7878787878787878,0.7894511852002114,987677.5541305542, , 
classic,entropy,0,50,25,3,0.7878787878787878,0.7886559962434929,869307.0590496063, , 
classic,entropy,0,50,25,5,0.7878787878787878,0.7875842773447771,826762.4258995056, , 
classic,entropy,0,50,25,10,0.7878787878787878,0.7875842773447771,823473.2191562653, , 
classic,entropy,0,50,50,1,0.8242424242424242,0.8257915324094842,522620.75114250183, , 
classic,entropy,0,50,50,3,0.8242424242424242,0.8257915324094842,526737.7870082855, , 
classic,entropy,0,50,50,5,0.8242424242424242,0.8257915324094842,541694.6330070496, , 
classic,entropy,0,50,50,10,0.8242424242424242,0.8257915324094842,533742.7659034729, , 
classic,entropy,0,50,50,25,0.8242424242424242,0.8257915324094842,535439.0721321106, , 
classic,gini,0,2,2,1,0.7818181818181819,0.7768991481815275,203645.26414871216, , 
classic,gini,0,2,3,1,0.7818181818181819,0.7768991481815275,200813.51280212402, , 
classic,gini,0,2,5,1,0.7818181818181819,0.7768991481815275,203166.67485237122, , 
classic,gini,0,2,5,3,0.7818181818181819,0.7768991481815275,203484.55786705017, , 
classic,gini,0,2,10,1,0.7818181818181819,0.7768991481815275,203369.460105896, , 
classic,gini,0,2,10,3,0.7818181818181819,0.7768991481815275,200828.2549381256, , 
classic,gini,0,2,10,5,0.7818181818181819,0.7768991481815275,202659.83891487122, , 
classic,gini,0,2,25,1,0.7818181818181819,0.7768991481815275,203600.01492500305, , 
classic,gini,0,2,25,3,0.7818181818181819,0.7768991481815275,203575.27923583984, , 
classic,gini,0,2,25,5,0.7818181818181819,0.7768991481815275,201342.00024604797, , 
classic,gini,0,2,25,10,0.7818181818181819,0.7768991481815275,201876.01017951965, , 
classic,gini,0,2,50,1,0.7818181818181819,0.7768991481815275,151834.2661857605, , 
classic,gini,0,2,50,3,0.7818181818181819,0.7768991481815275,151354.49600219727, , 
classic,gini,0,2,50,5,0.7818181818181819,0.7768991481815275,151489.66598510742, , 
classic,gini,0,2,50,10,0.7818181818181819,0.7768991481815275,149564.24283981323, , 
classic,gini,0,2,50,25,0.7818181818181819,0.7768991481815275,149618.05510520935, , 
classic,gini,0,3,2,1,0.8363636363636363,0.8372960372960373,359342.0088291168, , 
classic,gini,0,3,3,1,0.8363636363636363,0.8372960372960373,357324.7311115265, , 
classic,gini,0,3,5,1,0.8363636363636363,0.8372960372960373,358633.672952652, , 
classic,gini,0,3,5,3,0.8363636363636363,0.8372960372960373,359221.57096862793, , 
classic,gini,0,3,10,1,0.8363636363636363,0.8372960372960373,356878.0138492584, , 
classic,gini,0,3,10,3,0.8363636363636363,0.8372960372960373,359702.0950317383, , 
classic,gini,0,3,10,5,0.8363636363636363,0.8375766285830201,355131.5698623657, , 
