Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,0,2,2,1,0.7818181818181819,0.7768991481815275,1.8491744995117188,0.08647152980168661,5.188291788101196
classic,entropy,0,2,3,1,0.7818181818181819,0.7768991481815275,1.3709068298339844, , 
classic,entropy,0,2,5,1,0.7818181818181819,0.7768991481815275,1.3241767883300781, , 
classic,entropy,0,2,5,3,0.7818181818181819,0.7768991481815275,1.249074935913086, , 
classic,entropy,0,2,10,1,0.7818181818181819,0.7768991481815275,1.2841224670410156, , 
classic,entropy,0,2,10,3,0.7818181818181819,0.7768991481815275,1.2857913970947266, , 
classic,entropy,0,2,10,5,0.7818181818181819,0.7768991481815275,1.3098716735839844, , 
classic,entropy,0,2,25,1,0.7818181818181819,0.7768991481815275,1.3179779052734375, , 
classic,entropy,0,2,25,3,0.7818181818181819,0.7768991481815275,1.238107681274414, , 
classic,entropy,0,2,25,5,0.7818181818181819,0.7768991481815275,1.2760162353515625, , 
classic,entropy,0,2,25,10,0.7818181818181819,0.7768991481815275,1.2328624725341797, , 
classic,entropy,0,2,50,1,0.7818181818181819,0.7768991481815275,1.2140274047851562, , 
classic,entropy,0,2,50,3,0.7818181818181819,0.7768991481815275,1.2390613555908203, , 
classic,entropy,0,2,50,5,0.7818181818181819,0.7768991481815275,1.2221336364746094, , 
classic,entropy,0,2,50,10,0.7818181818181819,0.7768991481815275,1.238107681274414, , 
classic,entropy,0,2,50,25,0.7818181818181819,0.7768991481815275,1.194000244140625, , 
classic,entropy,0,3,2,1,0.8424242424242424,0.8431682035093548,1.6300678253173828, , 
classic,entropy,0,3,3,1,0.8424242424242424,0.8431682035093548,1.5511512756347656, , 
classic,entropy,0,3,5,1,0.8424242424242424,0.8431682035093548,1.543283462524414, , 
classic,entropy,0,3,5,3,0.8424242424242424,0.8431682035093548,1.5039443969726562, , 
classic,entropy,0,3,10,1,0.8424242424242424,0.8431682035093548,1.5330314636230469, , 
classic,entropy,0,3,10,3,0.8424242424242424,0.8431682035093548,1.5091896057128906, , 
classic,entropy,0,3,10,5,0.8424242424242424,0.8431682035093548,1.5201568603515625, , 
classic,entropy,0,3,25,1,0.8242424242424242,0.8257915324094842,1.5387535095214844, , 
classic,entropy,0,3,25,3,0.8242424242424242,0.8257915324094842,1.5239715576171875, , 
classic,entropy,0,3,25,5,0.8242424242424242,0.8257915324094842,1.4579296112060547, , 
classic,entropy,0,3,25,10,0.8242424242424242,0.8257915324094842,1.5041828155517578, , 
classic,entropy,0,3,50,1,0.8242424242424242,0.8257915324094842,1.3859272003173828, , 
classic,entropy,0,3,50,3,0.8242424242424242,0.8257915324094842,1.4019012451171875, , 
classic,entropy,0,3,50,5,0.8242424242424242,0.8257915324094842,1.7359256744384766, , 
classic,entropy,0,3,50,10,0.8242424242424242,0.8257915324094842,1.4967918395996094, , 
classic,entropy,0,3,50,25,0.8242424242424242,0.8257915324094842,1.461029052734375, , 
classic,entropy,0,4,2,1,0.8,0.7984390243902437,1.7540454864501953, , 
classic,entropy,0,4,3,1,0.793939393939394,0.7919549393085253,1.7690658569335938, , 
classic,entropy,0,4,5,1,0.8,0.7984390243902437,1.8072128295898438, , 
classic,entropy,0,4,5,3,0.8,0.7984390243902437,1.7118453979492188, , 
classic,entropy,0,4,10,1,0.806060606060606,0.8034315411364591,1.9030570983886719, , 
classic,entropy,0,4,10,3,0.8121212121212121,0.8099517622317197,1.6927719116210938, , 
classic,entropy,0,4,10,5,0.8181818181818182,0.814935064935065,1.706838607788086, , 
classic,entropy,0,4,25,1,0.793939393939394,0.7933496474647463,1.6789436340332031, , 
classic,entropy,0,4,25,3,0.793939393939394,0.7933496474647463,1.6851425170898438, , 
classic,entropy,0,4,25,5,0.793939393939394,0.7933496474647463,1.6818046569824219, , 
classic,entropy,0,4,25,10,0.793939393939394,0.7933496474647463,1.6188621520996094, , 
classic,entropy,0,4,50,1,0.8242424242424242,0.8257915324094842,1.6407966613769531, , 
classic,entropy,0,4,50,3,0.8242424242424242,0.8257915324094842,1.5559196472167969, , 
classic,entropy,0,4,50,5,0.8242424242424242,0.8257915324094842,1.6069412231445312, , 
classic,entropy,0,4,50,10,0.8242424242424242,0.8257915324094842,1.5437602996826172, , 
classic,entropy,0,4,50,25,0.8242424242424242,0.8257915324094842,1.497030258178711, , 
classic,entropy,0,5,2,1,0.8303030303030303,0.8303030303030303,1.898050308227539, , 
classic,entropy,0,5,3,1,0.8303030303030303,0.8303030303030303,1.9040107727050781, , 
classic,entropy,0,5,5,1,0.8121212121212121,0.8123662494754597,1.9528865814208984, , 
classic,entropy,0,5,5,3,0.8121212121212121,0.8123662494754597,1.9421577453613281, , 
classic,entropy,0,5,10,1,0.8363636363636363,0.8361364425231138,1.955270767211914, , 
classic,entropy,0,5,10,3,0.8424242424242424,0.8424242424242424,1.8796920776367188, , 
classic,entropy,0,5,10,5,0.8484848484848485,0.8478148695362923,1.9829273223876953, , 
classic,entropy,0,5,25,1,0.793939393939394,0.7933496474647463,1.886129379272461, , 
classic,entropy,0,5,25,3,0.793939393939394,0.7933496474647463,1.9483566284179688, , 
classic,entropy,0,5,25,5,0.793939393939394,0.7933496474647463,1.8391609191894531, , 
classic,entropy,0,5,25,10,0.793939393939394,0.7933496474647463,1.783132553100586, , 
classic,entropy,0,5,50,1,0.8242424242424242,0.8257915324094842,1.7557144165039062, , 
classic,entropy,0,5,50,3,0.8242424242424242,0.8257915324094842,1.734018325805664, , 
classic,entropy,0,5,50,5,0.8242424242424242,0.8257915324094842,1.6951560974121094, , 
classic,entropy,0,5,50,10,0.8242424242424242,0.8257915324094842,1.7521381378173828, , 
classic,entropy,0,5,50,25,0.8242424242424242,0.8257915324094842,1.6112327575683594, , 
classic,entropy,0,6,2,1,0.8363636363636363,0.8369631971021231,2.1779537200927734, , 
classic,entropy,0,6,3,1,0.8424242424242424,0.8428221610039791,2.1619796752929688, , 
classic,entropy,0,6,5,1,0.806060606060606,0.8076416337285902,2.0987987518310547, , 
classic,entropy,0,6,5,3,0.8242424242424242,0.8252438919105585,2.048015594482422, , 
classic,entropy,0,6,10,1,0.8242424242424242,0.8252438919105585,2.3641586303710938, , 
classic,entropy,0,6,10,3,0.8303030303030303,0.8314221658672841,2.1750926971435547, , 
classic,entropy,0,6,10,5,0.8484848484848485,0.849348182681516,2.057313919067383, , 
classic,entropy,0,6,25,1,0.8,0.800260846215812,2.0101070404052734, , 
classic,entropy,0,6,25,3,0.7818181818181819,0.7828482817821838,2.0170211791992188, , 
classic,entropy,0,6,25,5,0.793939393939394,0.7952983442674164,1.9669532775878906, , 
classic,entropy,0,6,25,10,0.8,0.8007327964581505,1.9211769104003906, , 
classic,entropy,0,6,50,1,0.8242424242424242,0.8257915324094842,1.9440650939941406, , 
