Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,Irrelevant,2,2,1,0.7538461538461538,0.7360786581839214,27856.94718360901,607.0316362778345,36421.898176670074
classic,entropy,Irrelevant,2,3,1,0.7538461538461538,0.7360786581839214,27770.540952682495, , 
classic,entropy,Irrelevant,2,5,1,0.7538461538461538,0.7360786581839214,27758.229970932007, , 
classic,entropy,Irrelevant,2,5,3,0.7538461538461538,0.7360786581839214,27775.7089138031, , 
classic,entropy,Irrelevant,2,10,1,0.7538461538461538,0.7360786581839214,27774.919986724854, , 
classic,entropy,Irrelevant,2,10,3,0.7538461538461538,0.7360786581839214,27744.144916534424, , 
classic,entropy,Irrelevant,2,10,5,0.7538461538461538,0.7360786581839214,27785.109996795654, , 
classic,entropy,Irrelevant,2,25,1,0.7538461538461538,0.7360786581839214,27757.403135299683, , 
classic,entropy,Irrelevant,2,25,3,0.7538461538461538,0.7360786581839214,27796.38385772705, , 
classic,entropy,Irrelevant,2,25,5,0.7538461538461538,0.7360786581839214,27748.4028339386, , 
classic,entropy,Irrelevant,2,25,10,0.7538461538461538,0.7360786581839214,27769.7536945343, , 
classic,entropy,Irrelevant,2,50,1,0.7538461538461538,0.7360786581839214,27781.929969787598, , 
classic,entropy,Irrelevant,2,50,3,0.7538461538461538,0.7360786581839214,27764.124870300293, , 
classic,entropy,Irrelevant,2,50,5,0.7538461538461538,0.7360786581839214,27730.91220855713, , 
classic,entropy,Irrelevant,2,50,10,0.7538461538461538,0.7360786581839214,27823.209762573242, , 
classic,entropy,Irrelevant,2,50,25,0.7538461538461538,0.7360786581839214,27795.177936553955, , 
classic,entropy,Irrelevant,3,2,1,0.7153846153846154,0.723736837923605,1102896.2423801422, , 
classic,entropy,Irrelevant,3,3,1,0.7153846153846154,0.723736837923605,57496.92797660828, , 
classic,entropy,Irrelevant,3,5,1,0.7153846153846154,0.723736837923605,1080352.0457744598, , 
classic,entropy,Irrelevant,3,5,3,0.7153846153846154,0.723736837923605,1069106.2688827515, , 
classic,entropy,Irrelevant,3,10,1,0.7153846153846154,0.723736837923605,217850.44407844543, , 
classic,entropy,Irrelevant,3,10,3,0.7153846153846154,0.723736837923605,1423501.590013504, , 
classic,entropy,Irrelevant,3,10,5,0.7153846153846154,0.723736837923605,59141.17097854614, , 
classic,entropy,Irrelevant,3,25,1,0.7153846153846154,0.723736837923605,60367.73180961609, , 
classic,entropy,Irrelevant,3,25,3,0.7153846153846154,0.723736837923605,59623.57568740845, , 
classic,entropy,Irrelevant,3,25,5,0.7153846153846154,0.723736837923605,60842.950105667114, , 
classic,entropy,Irrelevant,3,25,10,0.7153846153846154,0.723736837923605,58110.98217964172, , 
classic,entropy,Irrelevant,3,50,1,0.7153846153846154,0.723736837923605,50846.282958984375, , 
classic,entropy,Irrelevant,3,50,3,0.7153846153846154,0.723736837923605,53499.128103256226, , 
classic,entropy,Irrelevant,3,50,5,0.7153846153846154,0.723736837923605,52945.119857788086, , 
classic,entropy,Irrelevant,3,50,10,0.7153846153846154,0.723736837923605,51627.15005874634, , 
classic,entropy,Irrelevant,3,50,25,0.6846153846153846,0.683661279896574,51868.07894706726, , 
classic,entropy,Irrelevant,4,2,1,0.7230769230769231,0.7312197236725538,106387.38298416138, , 
classic,entropy,Irrelevant,4,3,1,0.7230769230769231,0.7312197236725538,105661.36908531189, , 
classic,entropy,Irrelevant,4,5,1,0.7230769230769231,0.7312197236725538,106607.66005516052, , 
classic,entropy,Irrelevant,4,5,3,0.7307692307692307,0.7386269644334161,106873.10600280762, , 
classic,entropy,Irrelevant,4,10,1,0.7230769230769231,0.7312197236725538,101317.04187393188, , 
classic,entropy,Irrelevant,4,10,3,0.7307692307692307,0.7386269644334161,102301.3048171997, , 
classic,entropy,Irrelevant,4,10,5,0.7307692307692307,0.7387124511918354,98160.79497337341, , 
classic,entropy,Irrelevant,4,25,1,0.7307692307692307,0.7386269644334161,84466.26567840576, , 
classic,entropy,Irrelevant,4,25,3,0.7307692307692307,0.7386269644334161,84639.04881477356, , 
classic,entropy,Irrelevant,4,25,5,0.7307692307692307,0.7387124511918354,84587.77117729187, , 
classic,entropy,Irrelevant,4,25,10,0.7153846153846154,0.723736837923605,77121.5488910675, , 
classic,entropy,Irrelevant,4,50,1,0.7076923076923077,0.7161958041958042,69237.22004890442, , 
classic,entropy,Irrelevant,4,50,3,0.7076923076923077,0.7161958041958042,65852.20503807068, , 
