Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,Irrelevant,2,2,1,0.7538461538461538,0.7360786581839214,4.19306755065918,0.06579769055048625,3.947861433029175
classic,entropy,Irrelevant,2,3,1,0.7538461538461538,0.7360786581839214,1.0752677917480469, , 
classic,entropy,Irrelevant,2,5,1,0.7538461538461538,0.7360786581839214,0.9489059448242188, , 
classic,entropy,Irrelevant,2,5,3,0.7538461538461538,0.7360786581839214,0.9219646453857422, , 
classic,entropy,Irrelevant,2,10,1,0.7538461538461538,0.7360786581839214,0.9369850158691406, , 
classic,entropy,Irrelevant,2,10,3,0.7538461538461538,0.7360786581839214,0.946044921875, , 
classic,entropy,Irrelevant,2,10,5,0.7538461538461538,0.7360786581839214,0.9021759033203125, , 
classic,entropy,Irrelevant,2,25,1,0.7538461538461538,0.7360786581839214,0.9200572967529297, , 
classic,entropy,Irrelevant,2,25,3,0.7538461538461538,0.7360786581839214,0.9949207305908203, , 
classic,entropy,Irrelevant,2,25,5,0.7538461538461538,0.7360786581839214,0.8780956268310547, , 
classic,entropy,Irrelevant,2,25,10,0.7538461538461538,0.7360786581839214,0.9479522705078125, , 
classic,entropy,Irrelevant,2,50,1,0.7538461538461538,0.7360786581839214,0.9059906005859375, , 
classic,entropy,Irrelevant,2,50,3,0.7538461538461538,0.7360786581839214,0.926971435546875, , 
classic,entropy,Irrelevant,2,50,5,0.7538461538461538,0.7360786581839214,0.9176731109619141, , 
classic,entropy,Irrelevant,2,50,10,0.7538461538461538,0.7360786581839214,0.9129047393798828, , 
classic,entropy,Irrelevant,2,50,25,0.7538461538461538,0.7360786581839214,0.8828639984130859, , 
classic,entropy,Irrelevant,3,2,1,0.7230769230769231,0.7312415654520917,1.1448860168457031, , 
classic,entropy,Irrelevant,3,3,1,0.7384615384615385,0.746151961246301,1.0690689086914062, , 
classic,entropy,Irrelevant,3,5,1,0.7384615384615385,0.746151961246301,1.1529922485351562, , 
classic,entropy,Irrelevant,3,5,3,0.7230769230769231,0.7312415654520917,1.0669231414794922, , 
classic,entropy,Irrelevant,3,10,1,0.7230769230769231,0.7312415654520917,1.0609626770019531, , 
classic,entropy,Irrelevant,3,10,3,0.7230769230769231,0.7312415654520917,1.0728836059570312, , 
classic,entropy,Irrelevant,3,10,5,0.7384615384615385,0.746151961246301,1.149892807006836, , 
classic,entropy,Irrelevant,3,25,1,0.7384615384615385,0.746151961246301,1.1777877807617188, , 
