Tree_Mode,Criterion,Bins,Max_Depth,Min_sample_split,Min_sample_leaf,ACCURACY,F1_SCORE,ELAPSED_TIME_MS,TEST_TOTAL_TIME_MIN,TEST_TOTAL_TIME_SEC
classic,entropy,Irrelevant,2,2,1,0.7878787878787878,0.6944016435541859,3335.8209133148193,28.788941208521525,1727.3364725112915
classic,entropy,Irrelevant,2,3,1,0.7878787878787878,0.6944016435541859,3300.26912689209, , 
classic,entropy,Irrelevant,2,5,1,0.7878787878787878,0.6944016435541859,3352.4510860443115, , 
classic,entropy,Irrelevant,2,5,3,0.8181818181818182,0.7594043887147335,3294.1808700561523, , 
classic,entropy,Irrelevant,2,10,1,0.7878787878787878,0.6944016435541859,3242.769956588745, , 
classic,entropy,Irrelevant,2,10,3,0.8181818181818182,0.7594043887147335,3260.103702545166, , 
classic,entropy,Irrelevant,2,10,5,0.8181818181818182,0.7594043887147335,3345.94988822937, , 
classic,entropy,Irrelevant,2,25,1,0.8181818181818182,0.7594043887147335,2443.8908100128174, , 
classic,entropy,Irrelevant,2,25,3,0.8181818181818182,0.7594043887147335,2430.1187992095947, , 
classic,entropy,Irrelevant,2,25,5,0.8181818181818182,0.7594043887147335,2542.4840450286865, , 
classic,entropy,Irrelevant,2,25,10,0.8181818181818182,0.7594043887147335,2526.5021324157715, , 
classic,entropy,Irrelevant,2,50,1,0.8181818181818182,0.7594043887147335,2471.1029529571533, , 
classic,entropy,Irrelevant,2,50,3,0.8181818181818182,0.7594043887147335,2469.416856765747, , 
classic,entropy,Irrelevant,2,50,5,0.8181818181818182,0.7594043887147335,2421.44513130188, , 
classic,entropy,Irrelevant,2,50,10,0.8181818181818182,0.7594043887147335,2422.791004180908, , 
classic,entropy,Irrelevant,2,50,25,0.7878787878787878,0.6944016435541859,1224.7018814086914, , 
classic,entropy,Irrelevant,3,2,1,0.7878787878787878,0.7382597908913698,4901.311874389648, , 
classic,entropy,Irrelevant,3,3,1,0.7575757575757576,0.6792058516196446,4204.477071762085, , 
classic,entropy,Irrelevant,3,5,1,0.7575757575757576,0.6792058516196446,4235.29314994812, , 
classic,entropy,Irrelevant,3,5,3,0.8181818181818182,0.7594043887147335,4275.614976882935, , 
classic,entropy,Irrelevant,3,10,1,0.7878787878787878,0.6944016435541859,3424.710988998413, , 
classic,entropy,Irrelevant,3,10,3,0.8181818181818182,0.7594043887147335,3375.898838043213, , 
classic,entropy,Irrelevant,3,10,5,0.8181818181818182,0.7594043887147335,3350.224256515503, , 
classic,entropy,Irrelevant,3,25,1,0.8181818181818182,0.7594043887147335,2443.07804107666, , 
classic,entropy,Irrelevant,3,25,3,0.8181818181818182,0.7594043887147335,2487.891912460327, , 
classic,entropy,Irrelevant,3,25,5,0.8181818181818182,0.7594043887147335,2486.7031574249268, , 
classic,entropy,Irrelevant,3,25,10,0.8181818181818182,0.7594043887147335,2509.161949157715, , 
classic,entropy,Irrelevant,3,50,1,0.8181818181818182,0.7594043887147335,2484.196186065674, , 
classic,entropy,Irrelevant,3,50,3,0.8181818181818182,0.7594043887147335,2433.336019515991, , 
classic,entropy,Irrelevant,3,50,5,0.8181818181818182,0.7594043887147335,2460.869789123535, , 
classic,entropy,Irrelevant,3,50,10,0.8181818181818182,0.7594043887147335,2502.5579929351807, , 
classic,entropy,Irrelevant,3,50,25,0.7878787878787878,0.6944016435541859,1237.9438877105713, , 
classic,entropy,Irrelevant,4,2,1,0.8484848484848485,0.8319559228650137,5821.65789604187, , 
classic,entropy,Irrelevant,4,3,1,0.8181818181818182,0.7883116883116884,5106.997966766357, , 
classic,entropy,Irrelevant,4,5,1,0.8181818181818182,0.7883116883116884,5032.510042190552, , 
classic,entropy,Irrelevant,4,5,3,0.8181818181818182,0.7594043887147335,4270.508050918579, , 
classic,entropy,Irrelevant,4,10,1,0.7878787878787878,0.6944016435541859,3344.1648483276367, , 
classic,entropy,Irrelevant,4,10,3,0.8181818181818182,0.7594043887147335,3403.4388065338135, , 
classic,entropy,Irrelevant,4,10,5,0.8181818181818182,0.7594043887147335,3364.9139404296875, , 
classic,entropy,Irrelevant,4,25,1,0.8181818181818182,0.7594043887147335,2514.674186706543, , 
classic,entropy,Irrelevant,4,25,3,0.8181818181818182,0.7594043887147335,2403.0239582061768, , 
classic,entropy,Irrelevant,4,25,5,0.8181818181818182,0.7594043887147335,2391.4742469787598, , 
classic,entropy,Irrelevant,4,25,10,0.8181818181818182,0.7594043887147335,2384.709119796753, , 
classic,entropy,Irrelevant,4,50,1,0.8181818181818182,0.7594043887147335,2404.072046279907, , 
classic,entropy,Irrelevant,4,50,3,0.8181818181818182,0.7594043887147335,2402.2531509399414, , 
classic,entropy,Irrelevant,4,50,5,0.8181818181818182,0.7594043887147335,2398.6549377441406, , 
classic,entropy,Irrelevant,4,50,10,0.8181818181818182,0.7594043887147335,2533.0381393432617, , 
classic,entropy,Irrelevant,4,50,25,0.7878787878787878,0.6944016435541859,1292.3080921173096, , 
classic,entropy,Irrelevant,5,2,1,0.8484848484848485,0.8319559228650137,5904.878854751587, , 
classic,entropy,Irrelevant,5,3,1,0.8181818181818182,0.7883116883116884,5144.38796043396, , 
